t,x,y,z
-17994,94,40,102
-16611,93,41,103
-15310,94,40,103
-14010,93,40,102
-12711,93,42,102
-11411,93,40,101
-10109,93,42,101
-7317,94,41,101
-5961,93,42,102
-4617,93,42,101
-3275,94,41,101
-1522,92,42,101
-123,93,41,101
1460,94,42,101
2811,94,42,100
4124,93,42,101
5433,93,40,104
6742,94,42,99
9539,93,42,101
10856,93,40,102
12160,95,42,100
13486,93,42,102
14788,93,41,100
16501,93,42,101
17966,93,42,100
19292,92,43,100
20596,91,42,102
21900,94,41,101
23204,93,41,102
24508,93,40,103
25813,93,43,100
27140,94,43,101
28445,93,42,103
29750,93,42,102
31056,93,42,100
32362,94,41,103
-31868,95,43,102
-30562,93,41,101
-29255,92,41,102
-27949,91,42,100
-25230,94,41,101
-23816,93,40,102
-22368,93,42,102
-21046,93,42,101
-19738,94,41,102
-18429,92,41,102
-17120,93,41,102
-15811,93,41,101
-14502,93,42,100
-13192,97,42,101
-11882,94,42,104
-10550,92,42,102
-9239,94,42,102
-7929,94,42,103
-5295,93,43,99
-3950,93,41,101
-2608,93,41,101
-1266,93,43,101
147,92,41,102
1481,93,41,101
2794,93,41,100
4131,94,41,101
5444,94,41,101
6754,94,42,104
8062,94,41,101
9370,93,40,102
10676,94,41,102
11980,92,40,100
13283,93,42,102
14586,94,42,102
15999,93,40,100
17374,95,41,102
18682,93,39,102
19986,92,42,101
21291,92,41,100
22595,93,43,101
23900,92,42,101
25222,94,43,102
26529,93,43,101
27835,94,41,100
29140,94,41,100
30469,93,42,101
31774,92,43,101
-32455,93,42,101
-31148,93,41,100
-29841,93,41,101
-28534,93,43,101
-27227,91,42,101
-25918,92,42,104
-24610,94,42,102
-23301,93,42,101
-21971,94,42,100
-20662,94,42,101
-19353,95,42,100
-18043,93,42,101
-16734,94,42,101
-15407,93,42,99
-14095,94,41,101
-12695,93,41,101
-11373,94,42,102
-10063,92,40,101
-7442,91,40,102
-6097,94,41,100
-4755,92,41,103
-3413,92,42,101
-2070,93,42,101
-738,93,42,100
576,93,40,102
1890,93,40,101
3203,93,42,101
4512,93,39,102
5843,93,41,100
7151,95,41,102
8457,94,40,100
9778,93,41,101
11084,94,42,101
12387,92,41,101
13690,94,42,100
14994,93,40,101
16297,93,41,101
17601,93,42,102
18927,93,41,101
20232,94,41,102
21536,92,40,102
22841,94,42,101
24147,92,42,104
25452,93,40,102
26758,94,42,103
28064,93,42,101
30406,94,41,101
31737,95,42,102
-32470,93,40,101
-31098,92,42,102
-29789,95,42,100
-28481,93,41,101
-27173,93,41,103
-25865,93,41,102
-24556,93,41,101
-23248,94,40,102
-21939,93,41,103
-20630,93,42,102
-19298,93,40,101
-17989,93,42,102
-16679,94,43,101
-15369,95,42,100
-14059,93,40,101
-12516,93,41,100
-10878,92,40,100
-8214,93,42,102
-6869,93,41,102
-4132,92,42,103
