t,x,y,z
-27841,94,42,100
-26469,93,41,103
-24847,94,42,101
-23043,93,40,103
-21679,94,41,104
-20344,93,42,102
-19028,94,41,101
-17711,93,41,99
-16396,93,42,101
-15084,93,41,103
-13698,93,41,102
-12387,93,41,103
-11086,95,41,101
-9763,94,41,100
-8448,93,41,101
-7142,93,41,103
-5347,92,42,99
-3544,94,42,103
-2143,93,41,101
-841,93,43,102
460,92,42,101
1763,93,41,101
3065,94,40,102
4390,93,43,101
5693,93,44,102
6997,92,41,100
8300,94,42,102
9604,94,41,103
10908,92,40,100
12525,94,42,101
13863,94,43,100
15168,94,40,103
18250,93,40,102
19687,93,41,100
20998,94,40,103
22303,94,41,100
23609,95,42,100
24916,95,42,103
26222,92,41,101
27529,93,41,101
28836,92,41,100
30143,95,43,102
31451,94,42,100
-32755,96,42,102
-31447,93,41,101
-30139,93,40,100
-27543,93,41,100
-26151,94,39,100
-24810,94,41,103
-23379,92,42,101
-22031,94,42,100
-20696,93,42,102
-19379,94,43,101
-18040,94,41,102
-16725,93,41,102
-15413,93,41,101
-14103,93,42,102
-12796,94,43,102
-11495,95,42,102
-10195,93,40,102
-8895,94,42,103
-7594,94,42,100
-6293,93,43,102
-4969,94,41,101
-3668,92,41,101
-2366,93,42,101
-1064,94,42,101
238,92,41,100
1563,94,41,102
2868,95,41,102
4171,94,42,101
5474,92,42,100
6777,94,42,101
8103,93,41,101
9407,93,42,101
10711,93,41,100
12111,92,41,101
13456,93,42,100
14766,94,41,101
16071,92,43,100
17377,92,44,102
18683,93,43,100
19989,93,40,101
21317,94,42,102
22624,92,41,102
23931,94,43,101
25238,93,41,100
26562,92,40,100
27872,92,41,102
29179,93,42,101
30843,92,41,102
32279,94,40,101
-31670,92,42,101
-29048,93,42,101
-27696,95,39,102
-26364,94,42,103
-25020,94,42,100
-23675,93,43,102
-22339,95,42,101
-21023,93,41,101
-19706,92,41,101
-18391,93,41,104
-17072,93,43,102
-15435,93,41,101
-14094,94,42,102
-12791,93,40,102
-11491,94,41,102
-10191,92,42,102
-8890,95,41,101
-7589,94,42,100
-6288,94,41,101
-4986,93,41,103
-3684,95,41,100
-2360,92,41,100
-1058,93,41,100
244,92,41,101
1547,92,43,102
2849,94,42,102
4153,94,41,100
5456,93,41,101
7790,93,42,100
9154,92,42,101
10529,92,41,103
11857,94,42,100
13162,92,41,101
14467,93,41,101
15772,92,41,101
17078,95,42,100
18384,93,42,101
19690,94,41,100
20996,94,42,101
22303,93,40,99
23609,94,42,101
24939,92,41,101
26246,92,41,99
27553,93,43,100
28861,94,42,101
30169,94,40,100
31477,93,43,100
-32750,93,42,103
-30133,93,42,102
-28779,92,42,102
-26122,93,43,102
-24679,93,41,100
-23328,92,41,102
-21993,94,42,100
-20677,94,40,102
-19360,93,42,100
-18044,93,40,100
-16621,94,43,103
-15268,95,40,101
-13961,95,42,102
-12660,93,43,100
-11338,93,43,101
-10037,94,43,100
-8736,93,42,102
-7435,95,42,100
-6134,93,42,101
-4806,93,41,100
-3502,92,42,100
-2200,93,40,100
-817,93,42,100
514,94,41,100
1842,95,41,101
3144,94,43,100
4448,93,41,100
5751,95,41,100
7054,94,43,102
8358,92,43,102
9662,92,41,103
10967,94,42,100
12271,92,41,102
13576,93,42,100
14904,93,40,101
16210,93,42,102
17516,93,42,101
18822,94,41,103
20146,93,43,102
21455,93,42,102
22762,92,41,102
24069,95,42,102
25376,92,42,100
26684,94,42,101
28014,93,41,102
29322,94,42,102
30630,93,40,100
31938,94,39,100
-31014,92,40,103
-29663,92,43,100
-28331,94,42,100
-26987,94,42,100
-25641,94,42,101
-24306,95,41,102
-22967,93,41,101
-21650,94,40,103
-20279,95,41,100
-18965,93,41,101
-17655,95,41,101
-16348,93,41,100
-15047,92,43,100
-13747,93,42,101
-12447,92,40,100
-11146,92,41,102
-9822,93,42,103
-8521,94,41,100
-7219,94,40,103
-5918,93,41,100
-4616,93,42,100
-3314,93,42,99
-2011,93,42,102
-708,93,41,101
594,93,43,101
1898,93,41,101
3223,95,41,101
4551,92,42,103
5857,92,42,101
7161,95,43,103
8465,93,41,101
9770,94,42,100
11074,92,42,100
12380,95,41,103
13686,94,42,101
14992,93,40,100
16320,95,43,100
17626,92,43,101
18933,91,42,100
20324,93,42,100
21670,93,42,100
22982,93,43,103
24289,93,41,101
25597,95,42,101
26905,94,41,102
29194,93,41,100
30607,93,41,100
-32349,94,43,100
-30907,93,41,101
-29557,93,40,101
-28213,93,39,100
-26868,93,41,101
-25091,92,41,101
-23457,93,40,103
-22109,94,42,100
-20794,95,41,102
-19459,92,43,101
-18149,94,40,102
-16842,93,43,102
-15542,93,41,102
-14242,92,42,99
-12941,93,41,102
-11640,92,42,100
-10313,93,42,102
-9008,95,43,101
-7384,93,43,100
-4517,94,41,102
-3164,93,41,101
-1861,94,41,103
-559,94,42,99
744,94,41,102
2046,94,40,102
3350,93,42,102
4653,94,42,102
5957,93,42,101
7260,94,42,100
8587,92,42,103
9891,93,42,100
11196,93,41,100
12501,93,42,100
13883,94,42,102
15191,94,42,100
16497,91,42,101
17803,93,42,101
19110,96,41,100
20416,94,42,100
21745,93,41,101
23052,93,41,100
24360,94,43,100
25667,93,42,101
26975,93,42,103
28283,92,41,101
29591,93,42,101
30900,94,42,100
-32040,94,41,101
-30688,93,41,100
-29334,92,42,102
-27990,93,41,101
-26620,92,42,103
-25282,94,42,101
-23966,92,41,100
-22649,92,42,102
-21333,92,43,101
-20021,93,43,100
-18711,94,43,102
-17404,92,42,100
-16081,93,41,102
-14781,94,41,101
-13480,93,41,100
-12179,93,41,99
-10878,93,42,101
-9577,94,40,101
-8146,94,42,98
-6828,93,42,101
-5527,94,42,101
-4224,94,42,101
-2900,94,42,100
-1580,93,40,103
-275,93,41,101
1029,94,39,102
2332,94,41,100
3728,95,42,100
5043,92,41,103
6347,94,41,101
7651,92,42,101
8956,94,41,100
10624,93,43,102
11982,93,41,102
13288,92,41,101
14594,94,41,100
15900,93,42,101
17206,93,42,101
18513,94,40,101
19820,94,42,99
21127,92,43,101
22434,92,42,101
23793,92,42,100
25103,93,41,103
26411,95,42,99
27719,93,42,100
29028,93,42,101
31595,93,42,101
-32589,93,41,101
-31257,93,42,100
-29913,94,42,101
-28567,93,40,100
-27210,94,42,101
-25893,94,41,102
-24576,93,42,101
-23261,93,42,102
-21948,93,41,102
-20638,92,41,101
-19331,95,42,100
-18031,92,42,101
-15691,94,41,101
-14305,93,43,100
-12980,92,41,101
-11679,92,41,101
-10378,93,42,102
-9076,94,43,101
-7775,93,42,102
-6473,92,42,101
-5171,93,41,100
-3869,93,42,100
-2566,92,41,100
-1263,92,43,100
62,93,42,100
1365,94,41,100
2669,93,41,100
3972,94,42,102
5276,94,41,102
6580,93,41,100
7911,94,43,102
9218,92,41,100
10523,93,42,103
11829,93,41,101
13157,93,42,100
15821,93,42,101
17215,94,42,100
18533,93,41,101
19840,93,41,101
21147,92,41,100
22454,92,42,101
23761,93,40,100
25069,93,41,101
26377,94,41,101
27812,94,42,101
29163,92,42,100
31746,94,41,100
-32413,92,41,100
-31078,92,40,102
-29734,93,41,101
-28321,94,42,101
-26948,93,41,103
-25625,95,41,101
-24308,93,42,103
-22971,93,41,100
-21658,93,40,100
-20348,92,41,100
-19042,94,42,101
-17741,94,44,101
-16441,92,42,100
-15141,94,41,99
-13840,93,42,100
-12539,93,42,101
-11238,92,42,101
-9914,94,41,100
-8612,93,42,99
-7293,93,41,101
-5988,93,41,100
-4686,94,41,101
-3383,92,41,100
-2081,93,41,102
-778,94,40,100
525,93,42,100
1829,94,40,101
3155,94,42,100
4459,94,40,102
5763,94,40,101
7067,94,42,100
8372,93,42,101
9677,95,40,99
10983,92,41,101
12289,93,42,102
13595,92,40,101
14901,94,39,100
16230,93,38,100
17620,92,35,97
18932,90,33,93
20239,90,33,88
21546,84,32,82
22854,81,33,79
24162,79,37,82
25470,74,35,85
26778,69,28,85
29336,63,26,81
30710,56,24,76
32042,53,24,67
-32150,53,23,65
-30805,54,28,65
-29469,51,28,63
-28153,49,29,64
-26836,50,30,66
-25521,51,33,68
-24209,54,34,73
-22875,58,37,79
-21544,62,38,83
-19863,63,38,86
-18548,74,41,91
-17247,78,43,95
-15946,78,42,95
-14645,83,43,97
-13344,85,43,98
-12043,90,41,98
-10741,90,41,100
-9440,88,43,100
-8115,89,42,102
-6813,92,42,102
-5510,92,42,101
-4208,93,40,100
-2905,92,41,101
-1602,92,42,99
-193,93,41,100
1151,93,41,100
2475,92,40,102
3782,95,41,103
6240,93,41,101
7601,95,41,102
8908,93,42,102
10214,94,42,100
11520,94,42,100
12826,93,41,103
14133,93,41,100
15439,91,40,102
16746,93,41,101
18053,93,43,100
19786,93,40,102
21421,93,41,101
22767,94,41,102
24074,93,42,102
25383,93,42,102
26722,95,42,99
29322,94,41,103
30674,94,43,100
32006,94,42,102
-32186,92,41,103
-30818,94,42,101
-27927,94,43,101
-26567,93,41,100
-25251,93,41,103
-23935,94,42,103
-22623,94,42,101
-21313,93,42,102
-20006,93,42,101
-18705,93,42,101
-17405,91,43,101
-16083,92,41,102
-14782,94,42,102
-13403,93,42,102
-12100,95,43,102
-10798,93,42,101
-9496,93,41,100
-8195,93,42,102
-6893,93,43,102
-5590,94,41,103
-4287,93,41,102
-2963,95,41,102
-1659,92,41,101
-356,93,39,100
948,93,41,100
2251,94,41,103
3556,94,41,102
4860,95,43,102
6164,93,41,102
7469,92,41,102
8774,93,41,102
10103,93,42,100
11432,94,42,102
12740,94,43,102
14047,92,42,103
15354,91,41,100
16660,94,43,101
17967,92,40,100
19274,92,42,102
20582,94,42,103
21890,95,42,102
23220,92,41,102
24528,93,42,100
25837,94,40,102
28409,93,41,101
29760,91,42,101
31092,93,42,101
32436,92,41,101
-31754,93,42,102
-30419,91,41,100
-29000,93,41,101
-27621,94,42,101
-26301,94,42,102
-24989,93,42,102
-23578,93,42,100
-22264,93,42,100
-20964,94,41,100
-19663,94,41,102
-18363,94,41,100
-17062,94,42,100
-15761,93,42,100
-14438,94,42,100
-13136,93,42,102
-11834,95,40,102
-10532,94,42,103
-9230,92,41,101
-7928,93,41,101
-6625,94,41,103
-5323,96,41,102
-4002,94,43,101
-2697,93,42,100
-1371,93,41,102
-67,93,42,102
1237,96,42,101
2541,93,43,102
3846,94,42,100
5151,92,42,101
6456,93,41,102
7762,93,43,101
9068,95,42,100
10374,94,40,100
11702,94,41,103
13009,94,42,102
14316,93,43,103
15623,93,43,101
16930,93,41,102
18238,95,42,103
19545,93,40,101
20901,93,41,101
22211,93,41,101
23520,94,42,102
27085,96,41,103
28490,93,41,101
29820,94,41,102
31164,93,41,101
32510,93,43,101
-31691,95,43,102
-30374,94,41,103
-29058,93,43,101
-27742,93,41,101
-26430,92,40,104
-25098,93,41,102
-23791,94,41,101
-22490,94,43,100
-21190,93,41,101
-19861,91,42,101
-18558,93,41,102
-17257,92,40,103
-15956,92,41,104
-14654,93,42,100
-13352,94,42,101
-12028,94,42,101
-10726,92,41,100
-9424,93,40,100
-6793,92,43,102
-5342,94,41,102
-4025,93,41,102
-2722,93,41,101
-1418,93,42,103
-114,94,41,99
1190,93,41,100
2516,93,42,101
3821,94,41,101
5161,92,43,101
6468,93,42,102
7882,93,44,100
9226,93,41,101
10626,95,41,100
11942,93,41,100
13248,95,41,101
14555,93,41,100
15884,93,41,100
17192,94,42,101
18499,92,42,102
19807,94,42,100
21115,94,40,102
22423,92,42,101
23732,93,42,100
26325,94,42,101
27679,94,43,101
29009,93,43,103
30393,92,42,101
31741,94,41,100
-32460,92,41,102
-31143,92,41,100
-29826,94,41,101
-28511,93,42,102
-27199,93,42,102
-25888,93,41,101
-24582,94,42,101
-23281,94,42,100
-21959,95,41,99
-20658,92,41,102
-19357,95,42,101
-18056,93,42,101
-16755,92,40,101
-15453,93,43,100
-14151,94,41,101
-12850,94,45,102
-11547,93,42,100
-10190,93,42,101
-8863,93,43,102
-7560,95,43,101
-6257,94,43,101
-4954,93,43,101
-3650,94,42,100
-2346,92,44,101
-1042,93,42,101
262,93,42,102
1567,94,41,101
2872,92,42,101
4199,94,43,102
5506,94,40,101
6811,93,41,103
8118,92,42,101
9424,94,43,100
10731,94,43,102
12038,93,41,99
13345,93,40,102
14676,92,43,102
15986,92,41,101
17316,93,41,102
18624,94,40,101
19933,94,42,100
21241,94,43,101
23788,95,42,101
25141,93,43,100
26471,94,42,102
27815,93,42,101
29161,94,43,101
30497,92,42,100
31836,93,41,102
-32384,93,42,101
-31068,94,40,102
-29756,95,41,103
-28446,92,41,101
-27139,94,40,102
-25821,93,41,103
-24519,94,40,102
-23218,95,42,102
-21917,95,41,101
-20384,95,42,101
-19038,94,43,102
-16771,93,41,101
-15444,93,42,102
-14143,95,41,102
-12841,94,41,101
-11538,93,41,99
-10235,92,43,101
-8933,93,43,100
-7630,93,41,102
-6304,94,42,101
-5000,94,41,100
-3697,94,42,103
-2392,94,42,101
-625,92,42,102
1005,92,42,100
2350,93,40,103
3655,92,41,101
4962,93,41,100
6267,94,40,101
7596,93,41,102
8902,94,42,101
10209,94,42,101
11516,94,41,102
14373,93,41,102
15751,93,42,102
17058,94,40,100
18366,95,43,101
19674,93,40,102
20982,94,42,101
22313,93,41,102
24988,92,40,101
26344,94,42,99
27674,93,42,101
29018,92,40,101
30364,92,41,101
31700,95,41,102
-32520,94,41,101
-31203,94,41,101
-29887,94,42,102
-28553,92,41,102
-27243,94,42,102
-25936,93,41,102
-24635,94,41,101
-23335,93,42,102
-22034,94,41,101
-20733,92,40,102
-19432,94,41,100
-18130,93,41,101
-16829,93,41,100
-15480,95,42,103
-14176,94,44,101
-12874,94,42,101
-11571,94,41,102
-10268,95,42,102
-8966,93,41,101
-7662,93,43,102
-6359,94,41,101
-5055,96,39,100
-3751,93,43,101
-2425,94,42,101
-1120,94,42,99
184,93,41,101
1489,93,41,101
2794,92,42,100
4101,93,42,102
5407,93,41,101
6713,93,41,102
8019,92,42,102
9343,93,42,101
10675,94,41,101
11982,94,42,101
13289,94,41,102
14694,92,42,101
16104,95,41,100
17453,94,42,102
18766,93,40,102
20074,92,39,100
22634,94,42,101
23988,94,41,102
25340,94,41,101
26684,95,42,102
28030,92,43,100
29366,93,41,103
30682,93,42,100
31999,95,43,101
-32212,94,43,100
-30893,94,42,101
-29581,93,41,101
-28274,94,42,102
-26951,93,41,100
-25650,92,42,100
-24350,93,43,100
-23049,93,42,102
-21748,94,41,102
-20446,94,40,102
-19145,94,42,103
-17843,92,42,103
-16541,92,41,102
-15239,92,42,101
-13914,91,41,102
-12611,92,41,101
-11308,92,42,99
-10005,94,42,101
-8701,93,42,100
-7398,93,41,100
-6077,95,40,102
-4770,91,41,102
-3466,94,42,100
