t,x,y,z
-4338,94,42,102
-2952,93,43,104
-1625,94,40,100
-290,94,43,101
1010,94,42,101
2309,93,42,101
3754,95,43,100
5091,94,42,101
6396,95,41,101
7698,95,41,101
8999,96,42,101
10300,93,41,102
11720,94,41,102
13062,92,42,100
14399,93,41,101
15704,94,42,101
17007,94,42,102
18311,95,42,100
19614,94,41,102
20918,94,42,102
22222,93,42,101
23525,94,42,103
24830,94,42,100
26156,94,42,101
28907,93,43,102
30235,94,41,102
31561,94,43,100
-32645,93,42,102
-31316,96,42,101
-29996,93,42,102
-28674,95,41,99
-27352,94,41,104
-25971,93,42,101
-24625,94,41,101
-23304,94,42,101
-21986,94,43,102
-20667,95,44,101
-19348,94,42,102
-18029,93,43,102
-16710,96,41,101
-15390,94,41,102
-14070,93,42,103
-12750,93,43,102
-11408,93,43,104
-10088,93,42,102
-8767,93,42,101
-7446,94,41,101
-6125,95,42,101
-4803,93,42,102
-3482,95,43,101
-2160,93,43,101
-812,91,42,102
513,95,42,101
1858,93,41,102
3180,93,43,101
4504,94,43,101
5827,93,41,99
7151,94,44,100
8475,93,42,101
11203,93,41,100
12570,93,41,99
13897,94,42,101
15222,92,43,101
16570,94,41,101
17896,92,43,100
19223,93,43,101
20549,95,42,101
21876,93,40,100
23203,94,42,102
24561,94,42,101
27164,94,41,100
28522,94,41,101
29836,93,42,101
31184,93,42,102
32502,92,42,101
-31715,93,42,102
-30396,92,41,102
-29076,95,40,100
-27755,94,43,100
-26435,96,44,100
-23201,93,42,100
-21660,93,41,103
-20328,93,42,103
-18886,93,42,102
-17547,93,42,100
-16201,94,42,101
-14879,92,43,102
-13559,95,41,101
-12240,95,42,102
-10920,94,43,100
-9599,94,42,101
-8279,94,42,101
-6958,94,42,102
-5615,95,41,101
-4294,95,41,101
-2972,93,41,101
-1651,93,42,101
-328,92,42,102
994,94,41,102
2316,93,41,104
3639,95,42,101
4962,94,43,101
6285,92,42,102
7631,94,43,101
9006,94,41,102
10332,93,41,102
11657,94,42,102
12981,96,42,101
14306,93,41,101
15632,94,41,101
16957,95,42,102
18283,93,43,101
19609,93,42,102
20958,95,43,101
22285,95,44,102
23612,94,42,102
24939,94,40,100
27567,94,42,103
28929,94,40,100
30255,93,42,101
31582,92,41,101
-32617,94,42,101
-31290,95,42,100
-29944,94,43,102
-28624,94,41,102
-27304,94,43,102
-25984,95,41,101
-24666,93,42,102
-23347,92,41,100
-22029,94,42,101
-20710,93,42,102
-19391,95,41,102
-18072,94,42,102
-16730,94,41,101
-15410,94,42,103
-14091,94,42,101
-12770,94,43,102
-11450,92,43,101
-10130,93,41,102
-8809,94,43,102
-7471,93,42,100
-6147,94,41,101
-4825,95,42,101
-3481,94,43,102
-2159,93,41,103
-837,95,41,105
486,94,40,102
1809,94,41,101
3132,93,43,103
4455,95,42,102
5779,94,41,103
7104,93,42,100
8428,94,42,101
9775,94,43,103
11100,93,41,102
12521,94,43,102
13890,93,43,102
15311,94,44,101
16682,95,41,101
18025,95,40,103
19354,95,41,100
20680,95,41,100
22008,94,42,103
23358,94,41,103
25941,95,42,100
27277,93,42,101
28606,93,43,102
29935,93,42,101
32241,92,39,101
-31913,95,41,100
-30589,95,40,103
-29267,93,43,102
-27945,94,43,102
-26602,95,43,101
-25281,95,43,101
-23962,93,41,100
-22578,93,41,101
-21257,93,39,100
-19938,93,44,101
-18619,94,43,103
-17299,93,42,101
-15979,95,41,100
-14659,94,41,101
-13317,94,41,101
-11996,94,41,102
-10676,95,42,101
-9355,95,43,100
-7514,93,42,101
-6168,94,43,101
-4846,93,41,102
-3196,93,42,103
-1814,94,43,101
-489,93,41,102
856,94,43,102
2201,94,42,102
3527,94,42,101
4850,95,43,101
6175,95,42,102
7499,95,41,101
8823,94,42,101
10148,94,41,102
11479,94,41,102
13463,94,42,102
14832,93,43,101
16228,94,41,103
17584,94,43,102
18919,95,42,101
20246,94,42,100
21573,95,41,101
22900,95,43,102
24228,94,43,100
26870,94,40,101
28210,94,41,101
29560,94,42,102
30889,94,41,102
32219,94,42,102
-31997,93,42,101
-30675,94,42,103
-29353,96,42,103
-28032,92,42,103
-26711,96,43,101
-25191,94,44,101
-23846,94,43,101
-22505,92,42,102
-21186,93,42,101
-19867,92,40,102
-18548,94,42,102
-17228,94,41,102
-15565,93,42,101
-14195,93,40,104
-12563,95,40,100
-11168,94,41,102
-9845,95,44,102
-8502,94,41,102
-7181,94,41,102
-5859,93,40,103
-4538,94,42,101
-3216,94,43,100
-1894,95,41,101
-572,94,41,100
751,94,42,102
2074,93,41,102
3397,94,42,102
4742,94,41,100
6067,93,42,101
7391,94,42,103
8715,94,43,102
10040,94,43,102
11433,93,41,101
12760,95,42,103
14086,94,41,102
15412,97,43,101
16738,94,41,101
18086,94,43,101
19413,95,43,101
20740,93,41,103
22067,95,43,101
23395,95,42,100
25984,93,42,102
27321,94,42,99
28650,92,41,101
29979,95,41,101
31834,94,43,102
-32311,94,40,102
-30990,95,42,101
-29586,96,41,101
-28209,93,42,102
-26885,94,43,102
-25564,94,43,102
-24246,93,42,103
-22927,94,42,101
-21608,93,43,102
-20289,93,43,100
-18947,93,42,102
-17628,94,41,101
-16308,93,43,101
-14988,94,42,101
-13668,95,42,100
-12347,95,43,102
-11026,94,42,101
-9705,93,42,102
-8384,95,42,102
-7063,94,40,101
-5719,95,41,100
-4397,93,41,102
-3058,96,42,103
-1733,93,42,101
-410,94,42,101
913,95,43,102
2236,93,42,102
3559,94,41,100
4884,95,42,100
6208,94,41,102
7555,95,42,103
8879,94,42,101
10204,96,41,101
11529,94,41,102
12855,93,43,102
14181,94,43,102
15508,94,42,102
16834,94,43,102
18161,95,40,104
19798,93,41,101
21255,94,41,102
22593,94,43,101
25466,93,42,103
26854,95,42,101
28185,94,43,102
29514,94,43,101
30844,95,43,102
32164,94,40,101
-32050,95,43,101
-30728,94,41,101
-29384,95,43,101
-28063,93,41,101
-26325,94,43,101
-24731,92,41,101
-23327,93,43,101
-22006,96,41,102
-20687,95,42,102
-19268,94,42,100
-17941,93,43,103
-16622,93,40,100
-15279,94,41,100
-13959,95,43,102
-12638,93,43,104
-11318,93,42,101
-9997,95,41,102
-8676,93,43,100
-7354,93,42,101
-6032,94,41,101
-4710,94,41,101
-3388,94,41,101
-2043,93,41,102
-721,96,40,102
602,93,42,102
1925,94,42,102
3249,93,42,103
4573,92,41,102
5923,94,42,102
7249,95,39,101
8574,96,42,101
9899,94,41,102
11247,94,43,102
12573,93,41,101
13899,94,39,101
15225,92,43,100
16551,92,40,101
17878,94,41,102
19205,94,40,101
20586,95,42,101
21916,92,43,101
24519,94,41,104
25878,91,42,102
27207,94,42,103
28536,94,41,100
29865,96,41,101
31203,94,41,102
32527,95,42,100
-31687,93,42,102
-30366,93,43,101
-29045,94,42,105
-27724,94,43,100
-26383,93,40,101
-25065,93,42,103
-23746,94,43,103
-22427,95,42,101
-21107,94,42,102
-19788,94,42,101
-18468,95,40,102
-17148,95,43,102
-15828,94,42,101
-12928,94,42,102
-11432,95,42,104
-10065,92,42,101
-8643,93,43,102
-7281,95,41,101
-5957,93,43,101
-4636,95,42,101
-3313,94,42,101
-1991,94,41,103
-668,93,41,101
654,96,41,101
2000,94,40,101
3323,94,41,102
4648,94,42,101
5972,95,42,101
7296,93,42,101
8621,94,42,101
9946,94,41,102
11271,93,42,101
12597,95,42,101
13923,94,41,101
15323,92,43,100
16652,94,40,100
17979,94,42,100
19672,94,42,102
21053,92,41,102
22659,95,42,101
25282,93,43,102
26619,94,42,101
27947,94,43,102
29277,93,41,103
30628,93,41,103
31949,93,42,102
-32265,94,41,100
-30943,94,41,100
-29622,95,43,102
-28301,94,43,100
-26980,95,43,101
-25632,94,42,101
-24312,94,42,101
-22993,94,41,101
-21651,94,41,100
-20332,95,43,101
-19012,94,42,102
-17692,94,42,101
-16372,95,43,101
-15052,95,42,101
-13732,94,43,100
-12411,94,43,101
-11090,93,41,102
-9769,95,43,103
-8425,94,40,101
-7103,91,40,104
-5781,94,42,101
-4459,94,42,101
-3137,95,42,101
-1814,94,42,101
-474,95,42,102
851,93,42,101
2175,93,41,102
3499,94,43,101
4846,94,42,100
6170,94,43,102
7495,95,42,101
8820,94,42,102
10145,95,45,102
11471,94,41,101
12797,94,39,100
14123,95,41,104
15450,95,41,101
16776,95,43,102
18126,92,41,102
19453,91,42,101
20781,94,42,102
23461,94,43,101
24849,94,43,102
26180,95,44,102
27598,94,42,103
28972,94,41,102
30295,94,39,103
31617,94,42,101
-32575,95,42,102
-31253,93,42,102
-29932,94,41,101
-28611,94,42,101
-27293,94,43,102
-25974,94,42,100
-23616,93,40,100
-22254,94,44,101
-20933,93,42,102
-19613,95,43,102
-18271,96,40,100
-16562,96,40,100
-15115,96,38,101
-13475,94,35,98
-12125,89,33,89
-10804,84,29,83
-9483,81,30,77
-8161,80,34,72
-6840,76,39,69
-5518,72,41,74
-4174,65,37,80
-2851,58,30,80
-1529,47,23,76
-206,40,21,73
1117,35,19,63
2441,31,23,56
3765,32,25,55
5089,32,29,56
7796,32,31,58
9228,29,34,62
10580,37,38,75
11904,43,38,79
13230,50,36,85
14556,56,37,85
15882,61,39,87
17209,67,41,87
18535,71,42,89
19862,75,43,92
21189,78,45,95
22517,81,44,98
25147,87,44,100
26484,88,44,100
27812,90,42,102
29141,90,44,99
30471,91,43,102
31791,91,44,102
-32423,93,42,100
-31084,92,42,102
-29761,92,42,102
-28440,92,42,102
-27096,95,41,101
-25778,94,41,102
-24460,93,41,101
-23141,93,42,101
-21822,94,42,103
-20502,93,44,102
-19183,94,40,101
-17863,93,41,101
-16543,93,41,102
-15223,93,42,102
-13880,95,42,102
-12560,93,43,103
-11239,95,42,101
-9918,94,43,102
-8596,95,41,101
-7185,95,41,102
-5832,94,42,100
-4507,94,42,103
-3185,93,41,101
-1862,95,42,102
-426,95,41,103
943,95,41,102
2269,94,42,102
3593,94,41,102
4917,93,41,100
6241,93,43,100
7566,95,42,103
8891,93,41,101
10216,95,42,100
11542,94,41,101
12890,92,41,100
14216,93,42,102
15543,94,41,99
16869,94,43,100
18249,94,42,102
19578,95,43,102
20906,94,42,100
23489,94,42,101
24826,94,42,100
26154,95,44,102
27505,94,43,100
28835,93,42,103
30155,94,41,102
31477,95,40,101
-32737,93,42,102
-31416,95,42,100
-30095,92,41,100
-28773,94,42,100
-27455,95,41,101
-26137,93,42,100
-24796,94,42,102
-23477,93,42,103
-22135,94,42,103
-20813,96,40,101
-19493,92,42,101
-18173,94,41,102
-16853,95,40,103
-15533,94,41,100
