t,x,y,z
25705,93,42,101
27105,95,42,105
28440,93,41,100
29747,93,42,101
31047,95,43,102
32346,93,41,100
-31890,94,42,101
-30568,93,42,102
-27921,95,42,102
-26536,92,42,101
-25206,95,43,103
-23862,93,42,102
-22518,92,43,102
-21184,95,40,101
-19871,94,40,101
-18557,93,41,101
-17243,93,41,101
-15908,93,39,100
-14596,92,42,101
-13285,94,42,100
-11977,94,42,101
-10675,91,42,101
-9375,93,42,102
-8074,93,41,102
-6774,94,40,101
-5474,93,40,102
-4173,93,41,101
-2850,94,40,100
-1535,93,42,101
-227,93,42,102
1218,92,43,102
2566,94,40,102
3869,92,42,102
5171,93,41,101
6474,95,41,102
7777,95,41,101
9080,94,43,103
10405,92,41,101
11709,94,43,100
13013,93,41,102
14317,93,42,101
15622,93,43,100
16927,94,42,101
18232,94,42,101
20921,91,41,101
22269,94,41,102
23607,94,41,103
24938,93,42,102
26244,94,41,101
27551,95,42,102
28858,94,42,99
30165,93,42,103
31472,92,41,102
-32458,94,42,102
-30762,95,41,101
-28070,94,42,102
-26712,94,41,102
-25367,93,40,101
-24025,93,42,100
-22681,94,42,100
-21347,93,41,101
-20033,94,41,101
-18720,94,43,101
-17406,91,43,100
-15984,93,40,102
-13183,93,41,100
-11718,91,42,102
-10372,94,42,101
-9069,92,41,101
-7769,92,43,101
-6469,92,41,100
-5169,93,42,101
-3868,94,41,101
-2567,94,42,100
-1266,95,41,102
35,94,41,101
1337,92,42,101
2660,95,40,102
3962,93,41,101
5265,93,41,101
6567,92,43,102
7899,93,40,101
9208,93,41,100
10513,93,43,102
11817,93,42,101
13121,93,41,101
14425,94,42,101
15751,92,42,100
17056,93,41,102
18361,94,41,100
19667,92,42,102
20972,93,43,101
22278,92,40,102
23584,93,40,103
24890,93,41,102
26196,93,40,101
27503,92,40,101
28832,94,41,99
30139,93,42,102
31446,93,40,100
32753,92,42,100
-31458,94,42,101
-28776,94,41,101
-27420,92,42,101
-26100,92,41,104
-24758,94,42,101
-23414,93,43,103
-22058,93,42,102
-20745,94,41,101
-19432,93,42,102
-18118,92,41,102
-16806,94,41,102
-15495,93,41,103
-14184,94,39,103
-12876,92,41,101
-11573,93,42,102
-10273,93,41,101
-8951,93,41,101
-7640,95,43,101
-6333,94,42,102
-5030,92,42,102
-3729,93,40,100
-2428,94,40,101
-1126,93,42,101
175,93,41,100
1477,92,43,101
2780,94,43,101
4212,93,43,103
5553,92,43,102
6860,93,42,100
8163,92,42,102
9467,95,43,100
10770,93,41,101
12074,93,42,101
13379,94,42,100
14683,94,42,100
15989,92,42,102
17327,94,42,99
18639,93,42,102
19947,94,41,100
21253,94,41,101
22559,93,42,102
23865,93,41,103
25172,94,41,100
26478,93,42,102
27785,93,42,101
29093,94,41,100
30422,93,41,101
31730,92,41,101
-31234,94,42,99
-29894,94,40,101
-28574,93,42,103
-27233,92,42,100
-25889,93,42,100
-23549,93,41,102
-22113,95,43,101
-20795,94,42,102
-19459,93,40,100
-18147,94,42,100
-16836,94,43,102
-15028,93,42,101
-13666,93,42,101
-12364,92,41,101
-11063,93,41,101
-9763,92,40,101
-8463,93,43,101
-7162,94,41,101
-5839,94,42,101
-4538,93,42,102
-3236,93,42,102
-1935,94,42,100
-633,94,43,101
669,92,42,101
1999,95,43,101
3304,95,40,102
4607,93,42,101
7381,91,41,102
8902,93,41,101
10222,93,42,102
11526,95,42,102
12830,95,43,102
14134,94,43,102
15439,93,42,101
16744,93,41,100
18050,93,41,101
19355,94,42,100
20661,93,42,100
21989,92,40,102
23296,93,41,102
24602,92,40,100
25909,92,42,102
27250,92,43,100
28560,91,41,101
29867,94,42,101
31175,92,43,100
32482,94,42,101
-30439,95,42,100
-29077,94,42,103
-27756,91,42,102
-26415,93,42,100
-24978,93,39,101
-23603,93,43,103
-22285,93,40,102
-20972,95,42,100
-19658,92,41,101
-18346,95,42,101
-17034,94,41,101
-15701,93,42,102
-14393,92,41,102
-13073,92,42,102
-11771,93,40,101
-10470,93,42,100
-9170,92,42,100
-7869,94,43,103
-6568,95,41,102
-5267,94,42,101
-3966,94,41,102
-2642,92,41,100
-1340,92,42,100
-38,92,41,100
1264,93,42,100
2567,93,43,101
3870,94,42,101
5173,92,41,101
6476,93,41,100
7779,95,41,100
9083,95,42,101
10409,95,40,103
11771,93,42,101
13078,93,42,102
14384,95,42,102
15689,94,40,99
16995,94,43,101
18300,95,42,101
19606,94,41,100
20913,94,42,101
22219,93,43,100
23548,94,42,101
24855,92,42,102
26162,96,42,101
27469,92,42,101
28777,94,43,101
30085,92,42,101
32647,94,42,102
-31549,94,44,100
-30229,94,41,102
-28863,91,41,101
-27495,94,42,103
-26161,95,42,103
-24764,93,42,101
-23435,93,41,101
-22121,93,42,100
-20809,92,42,100
-19498,93,42,102
-18187,95,41,102
-16879,95,42,101
-15577,92,40,100
-14254,94,43,101
-12954,93,41,100
-11653,94,41,100
-10352,94,41,100
-9052,92,43,101
-7751,93,41,100
-6449,93,42,101
-5148,94,41,102
-3829,92,42,101
-1493,92,42,101
-133,94,43,103
1170,93,40,101
2473,94,40,99
3776,94,41,101
5079,93,43,100
6383,94,41,102
7687,94,41,100
8991,94,43,101
10295,94,41,100
11823,94,41,100
13475,93,43,103
14832,95,42,101
16138,94,42,101
17443,95,43,100
18749,94,42,101
20056,93,41,103
21392,93,43,101
22700,93,40,101
24007,93,42,103
25315,92,41,102
26644,95,43,101
