t,x,y,z
25099,94,44,100
26524,93,43,102
28024,93,42,100
29360,94,44,100
30660,94,43,100
31996,93,42,100
-32238,94,41,102
-30937,94,44,100
-28163,94,41,103
-26796,94,43,101
-25462,93,42,102
-24124,93,42,100
-22780,94,43,100
-21435,92,41,100
-20091,92,41,99
-18749,94,42,101
-17418,93,43,102
-16107,93,42,102
-14775,92,42,100
-13468,94,42,100
-12164,93,42,99
-10863,93,41,102
-9503,94,41,100
-8200,94,41,100
-6775,95,42,101
-5444,94,43,104
-4143,92,43,100
-2841,94,42,100
-1516,93,43,99
-214,94,43,100
1089,93,41,100
2392,94,42,101
3695,95,41,100
4998,94,41,100
6301,94,43,102
7605,93,41,102
8909,94,41,101
10213,95,43,101
11540,93,41,101
12845,94,42,100
14150,93,42,101
15472,93,42,101
16780,94,43,101
18086,94,43,100
19392,94,41,101
20698,92,42,100
22006,94,43,100
23312,94,43,101
24642,94,42,101
25950,92,42,102
27257,92,41,101
28565,95,42,100
29873,93,42,102
31181,94,43,101
32490,96,42,99
-30447,93,41,100
-29097,92,42,101
-27766,92,43,101
-26406,95,41,102
-25045,93,41,100
-23698,94,42,102
-22354,92,41,101
-21011,94,42,101
-19680,93,42,101
-18369,93,42,101
-17060,94,43,101
-15753,93,41,100
-14448,93,42,100
-13126,94,42,101
-11825,95,43,100
-9127,94,42,100
-7794,94,40,102
-6493,94,42,99
-5191,94,42,101
-3889,94,42,100
-2587,94,41,100
-1020,94,42,100
702,94,40,100
2081,94,42,101
3875,94,40,99
5243,93,40,101
6844,94,42,100
8190,93,42,100
9495,94,41,99
10799,94,41,100
12103,94,44,99
13408,94,41,100
14713,94,42,100
16040,94,42,101
17346,93,44,100
18652,95,42,99
21552,94,41,99
23059,92,43,101
24382,94,42,101
25761,92,40,100
27070,92,42,100
28463,94,42,100
29786,93,41,101
31116,94,42,99
32424,91,43,100
-31804,94,42,99
-30496,93,42,102
-27856,94,41,99
-26507,93,43,100
-25176,92,44,100
-23838,94,42,100
-22494,94,44,101
-21149,92,43,102
-19783,94,42,101
-18440,92,42,100
-17109,93,41,101
-15788,94,43,100
-14472,94,43,99
-13162,94,43,101
-11858,95,43,99
-10558,93,41,100
-9257,95,42,103
-7956,95,41,101
-6633,94,44,101
-5331,94,42,100
-4030,94,43,99
-2728,95,41,101
-1426,94,41,101
-124,94,42,102
1179,94,43,101
2482,93,42,100
3785,93,43,100
5088,93,44,102
6414,94,42,100
7717,93,43,101
9021,94,43,100
10343,94,43,101
11650,95,41,101
12954,94,41,101
14259,92,44,101
15564,93,42,100
16870,96,41,99
18175,93,42,100
19503,93,43,101
20810,93,43,101
22117,93,42,102
23424,94,43,101
24731,95,43,100
26039,93,41,99
27346,94,41,100
28654,95,43,102
29962,92,43,100
31270,94,42,100
32601,93,42,102
-30328,95,42,101
-28860,93,43,100
-27500,93,43,101
-26162,95,42,101
-24818,95,42,100
-23473,95,41,100
-22129,93,42,100
-20787,93,43,102
-19456,94,43,100
-18123,95,40,101
-16814,93,41,100
-15506,94,44,102
-14202,94,42,101
-12902,93,42,100
-11601,92,42,99
-10300,93,41,100
-8999,94,41,102
-7698,92,43,104
-6396,95,44,101
-5055,94,42,100
-3750,93,42,99
-2332,93,42,102
-1012,95,44,99
291,94,43,99
1594,93,43,101
2897,95,41,102
4201,95,43,100
5504,92,43,98
6808,95,42,101
8134,92,43,102
9439,94,43,103
11747,93,41,100
13114,94,44,101
14421,94,40,101
15727,94,41,99
17032,93,43,101
18338,92,42,99
