t,x,y,z
-7950,94,40,101
-6650,94,41,99
-5350,92,42,101
-4028,94,42,100
-2727,94,41,100
-1427,95,42,100
-126,94,41,100
1175,94,42,101
2477,94,42,100
3925,95,43,101
5252,93,41,100
6571,93,42,102
8118,95,43,101
9774,92,42,100
11418,93,42,100
12860,93,42,102
14463,94,42,103
15807,92,44,101
17110,95,41,101
18414,93,41,102
19718,95,42,101
21023,93,42,102
22327,93,42,101
23655,94,42,100
24961,94,41,99
26266,93,42,100
27572,93,41,102
28878,94,42,101
30184,93,42,101
31522,95,43,100
-32705,93,42,101
-31398,94,40,102
-30091,92,41,100
-28761,94,41,101
-27454,94,42,101
-26146,94,42,101
-24838,92,42,101
-22202,94,42,100
-20852,93,42,100
-19521,95,41,101
-18176,93,41,101
-16831,95,41,102
-15488,92,40,99
-14132,93,41,102
-12818,93,41,101
-11506,94,41,102
-10196,95,43,102
-8810,95,43,102
-7502,94,41,101
-6203,94,43,100
-4902,94,43,102
-3602,93,41,101
-2302,94,41,101
-979,94,42,102
322,93,41,103
1624,93,42,100
2925,95,43,101
4227,93,45,100
5529,95,43,101
6831,93,42,102
8133,94,43,101
9436,93,42,101
10738,94,42,102
12064,94,42,100
13423,93,41,101
14729,94,43,100
16050,92,42,100
17357,93,42,102
18661,95,42,102
19966,94,41,101
21272,93,42,99
22578,95,43,100
23883,94,42,101
25211,94,40,101
26517,93,42,100
27824,95,40,101
29131,93,43,102
30437,94,42,101
31744,95,43,100
-32485,95,42,102
-31177,94,42,101
-29869,92,42,102
-28562,93,43,100
-27118,93,42,100
-24449,94,42,101
-23096,94,43,102
-20234,94,43,101
-18792,92,43,100
-17099,95,41,100
-15708,94,42,101
-14101,96,42,102
-12758,92,42,101
-11446,93,42,102
-10113,94,42,100
-8806,96,42,101
-7505,94,42,101
-6206,93,43,100
-4906,95,41,102
-3605,94,43,101
-2305,95,43,100
-1004,95,43,101
335,93,42,102
1639,93,43,102
2962,94,43,101
4264,92,42,103
5566,92,46,102
6868,93,43,103
8170,95,41,101
9473,93,42,101
10776,94,43,100
12079,94,44,100
13382,95,41,101
14685,94,42,101
16012,94,42,100
17316,94,42,101
18620,92,43,101
19925,93,42,100
21230,95,43,100
22536,93,43,102
23842,95,43,102
25200,95,41,102
26508,95,42,102
27814,94,41,100
29143,93,39,100
30450,96,39,100
31756,92,35,96
-32472,92,31,91
-31165,87,29,87
-29857,82,27,79
-28550,77,28,69
-27242,73,29,64
-24591,71,34,62
-23240,66,37,65
-21887,53,31,67
-20542,48,26,62
-19197,43,26,59
-17854,38,23,57
-16520,37,23,55
-15180,35,22,53
-13866,35,22,53
-12555,35,22,54
-11248,36,24,55
-9948,38,26,57
-8625,40,26,59
-7325,42,29,64
-6025,44,29,67
-4724,48,34,71
-3424,54,37,75
-2123,60,39,78
-821,67,42,85
480,70,45,87
1782,74,45,92
3084,79,45,94
4408,82,46,98
5710,85,45,99
7092,86,43,100
8424,90,43,100
9744,91,43,99
11049,92,43,100
12353,93,42,101
13657,92,42,100
15055,92,43,101
16400,93,42,101
17727,91,41,100
19032,93,41,101
