t,x,y,z
-2094,94,40,102
-720,92,43,105
599,92,43,102
1911,95,42,101
3212,95,43,101
4534,93,43,100
5834,95,41,100
7133,92,42,101
10291,95,43,100
11778,91,42,101
13097,93,41,101
14398,94,43,101
15699,95,41,101
17001,93,42,102
18303,93,39,102
19758,94,41,102
21099,93,42,103
22406,92,42,102
23710,93,42,102
25014,94,41,100
26317,93,41,102
27621,94,40,101
28926,94,41,101
30230,94,40,101
31535,94,42,102
-32674,93,41,100
-29951,93,43,103
-28536,93,42,100
-27213,93,41,103
-25882,93,41,102
-24537,93,41,102
-23190,94,42,101
-21844,93,41,105
-20508,93,43,102
-19192,93,40,100
-17852,93,42,101
-16536,93,42,102
-15221,93,42,100
-13908,93,41,100
-12596,93,43,101
-11286,93,41,102
-9983,94,41,101
-8569,93,41,101
-7197,93,42,101
-5894,94,42,101
-4571,94,42,102
-3271,93,42,101
-1969,92,42,102
-668,93,41,102
633,92,42,100
1935,93,42,101
3237,92,42,101
4539,93,41,101
5841,93,42,102
7144,93,40,102
8469,94,41,102
9773,93,43,101
11077,94,42,102
12381,93,44,102
13686,95,40,101
14992,91,43,102
16299,92,42,101
17629,93,41,100
18937,95,41,102
20243,95,40,101
21572,94,40,101
22878,93,42,101
24185,94,41,99
25492,93,42,105
26799,93,42,103
28106,92,41,101
29414,93,43,101
30722,93,43,102
-32230,93,43,101
-30853,94,43,101
-29028,94,43,101
-27636,94,42,100
-26293,94,41,103
-24960,92,42,99
-23646,93,42,102
-22304,94,41,101
-20988,93,41,101
-19676,95,43,100
-18365,95,41,102
-17054,94,40,101
-15722,94,41,104
-14419,93,42,101
-13119,94,42,102
-11819,93,42,101
-10519,94,43,102
-9219,94,43,101
-7803,93,42,103
-6463,93,41,102
-5162,94,41,101
-3861,93,42,102
-2538,94,42,101
-203,93,42,103
1188,93,42,100
2523,92,42,103
3828,92,42,103
5130,93,42,100
6433,94,42,101
7736,93,42,99
9039,94,40,101
10717,94,44,100
12305,93,42,101
13721,93,42,102
15033,93,42,102
16339,95,41,102
17645,92,42,102
18951,94,41,102
20257,94,42,102
21563,94,41,101
22870,93,42,101
24177,94,42,102
25601,93,40,102
27023,94,41,102
28369,94,43,100
31071,94,41,101
32600,93,41,101
-30285,95,43,103
-28944,95,43,102
-27623,93,41,103
-26280,94,43,102
-24934,94,41,100
-23565,93,43,101
-22230,93,42,102
-20915,95,43,101
-19598,94,41,100
-18282,95,40,101
-16969,94,43,101
-15656,93,42,102
-14344,94,41,102
-12999,94,42,102
-11693,92,42,101
-10370,93,41,103
-9070,94,41,103
-7770,94,41,102
-6469,93,41,102
-5169,95,44,102
-3868,93,41,101
-2567,94,42,102
-1265,93,41,102
36,93,42,101
1338,94,40,102
2663,93,42,102
3965,94,42,101
5268,95,41,102
6571,92,41,102
7874,93,43,103
9178,95,41,102
10481,94,41,103
11803,93,41,101
13112,91,42,102
14419,92,42,102
15746,93,43,101
17052,93,41,103
18359,94,40,101
19665,93,41,102
20972,94,42,102
22279,93,42,101
23586,91,43,102
24893,93,42,102
26200,95,40,103
27509,94,41,100
28940,94,39,100
30285,93,42,100
-32678,93,42,102
-31338,93,41,102
-30016,96,41,102
-28658,93,42,100
-27310,94,42,102
-25963,92,41,101
-24628,93,40,102
-23313,93,40,100
-21974,93,40,102
-20658,94,42,103
-19344,94,43,103
-18031,92,42,101
-16719,94,40,101
-15410,94,42,101
-14106,92,41,102
-12806,94,42,100
-11506,94,41,101
-10205,94,42,101
-8883,93,42,102
-7582,92,42,102
-6281,93,42,103
-4893,93,41,100
-3524,93,41,102
-2220,95,42,103
-918,94,43,102
384,93,41,102
1687,94,42,101
2989,94,42,103
4314,91,40,101
5618,93,41,101
6921,93,42,102
8225,92,42,102
9530,93,40,102
10836,93,42,103
12143,94,43,102
13448,93,41,102
14754,95,41,102
16060,93,44,103
17389,94,41,100
18696,94,42,102
21017,92,43,101
22384,94,40,102
23694,93,40,103
25001,93,42,101
26310,92,41,101
27619,92,42,100
28928,94,41,101
31542,93,42,102
-32631,93,42,103
-31309,94,40,102
-29966,92,41,102
-28620,94,42,101
-27273,92,41,102
-25938,94,41,102
-24623,91,42,102
-23307,95,41,102
-21991,94,42,101
-20677,93,42,102
-19318,94,41,102
-18004,93,42,102
-16694,93,42,102
-15391,94,40,103
-12636,94,41,100
-11268,91,41,101
-9965,92,42,103
-8665,94,41,102
-7364,94,42,101
-6063,94,42,100
-4740,94,41,103
-3438,93,43,102
-2137,94,41,102
-835,93,42,101
602,94,41,101
1920,93,41,102
3223,94,41,101
4526,93,41,102
5855,94,42,102
7161,92,41,100
8487,94,40,102
9792,93,42,103
11098,93,42,101
12405,94,40,100
13710,92,39,102
15016,92,41,101
16322,94,41,102
17629,92,41,102
18936,95,42,102
20243,93,40,102
21572,93,42,101
22879,94,41,101
24187,93,41,100
25496,94,42,102
26804,93,42,102
28113,94,44,102
30868,95,42,100
32222,94,42,102
-31992,95,43,103
-30649,93,41,101
-29281,94,43,102
-27934,93,42,100
-26599,95,44,103
-25283,92,41,101
-23967,96,43,101
-22651,94,42,104
-21337,95,42,102
-20024,94,40,100
-18712,95,41,102
-17403,93,43,101
-16076,93,42,102
-14776,94,42,101
-13476,94,42,100
-12175,94,41,101
-10875,92,41,102
-9550,93,41,101
-8247,95,42,102
-6946,94,41,102
-5645,94,41,103
-4343,94,42,101
-3019,94,42,102
-1716,94,43,101
-414,93,42,102
889,94,42,102
2192,95,42,101
3495,93,41,102
4799,91,42,101
6102,93,42,101
7408,93,41,102
8714,94,42,103
10043,93,42,102
11349,94,42,101
12654,92,41,103
13961,95,41,101
15284,94,43,102
16593,94,41,101
17900,93,40,99
19207,93,43,101
20514,95,39,102
21822,95,37,98
23153,90,35,95
24462,88,33,90
25771,87,30,86
28338,84,33,81
29679,79,36,76
31001,71,34,82
32344,62,28,80
-31846,59,27,76
-30499,54,23,71
-29076,52,24,64
-27702,51,26,61
-26381,53,26,63
-25048,52,26,62
-22746,50,27,63
-21382,50,28,66
-20068,52,33,73
-18759,56,33,76
-17455,60,36,82
-16155,63,37,84
-14854,68,36,85
-13532,73,41,88
-12231,78,42,96
-10925,82,41,97
-9176,85,43,99
-7576,86,44,99
-6234,89,42,101
-4932,90,44,101
-3630,90,41,100
-2328,91,44,100
-913,92,42,101
477,93,43,102
1782,93,41,102
3085,93,43,100
4389,93,41,102
5693,92,40,102
8522,94,42,101
9932,92,42,101
11246,94,40,102
12551,95,42,102
13857,93,42,101
15185,93,41,101
16492,94,40,102
17799,93,41,101
19106,94,42,103
20413,93,43,101
21720,94,41,100
23028,93,43,101
24372,94,42,102
25683,95,42,101
26992,94,42,101
29638,95,43,101
30979,93,42,101
32300,93,41,101
-31893,93,42,102
-30547,93,41,102
-29200,95,41,101
-27865,93,42,101
-26550,93,42,100
-25233,92,42,102
-23917,94,41,100
-22581,93,41,102
-21269,94,41,102
-19956,93,40,101
-18647,93,41,100
-17343,93,43,100
-16026,92,43,102
-14723,92,42,101
-13423,92,43,102
-12122,93,41,101
-10821,93,41,101
-9498,94,40,102
-8197,94,42,103
-6896,93,41,100
-5594,93,41,103
-4292,93,41,101
-2989,94,40,101
-1687,94,42,101
-385,94,41,102
918,93,41,99
2222,93,42,102
3548,93,41,100
4851,95,42,101
6156,94,41,101
7560,94,42,101
8922,94,42,101
10235,94,40,101
11541,93,42,100
12847,94,42,101
14154,94,42,100
15460,94,41,100
16790,94,41,102
18096,95,42,102
19404,96,41,101
20711,93,42,102
22020,92,41,102
23329,94,40,102
24638,93,43,103
27205,92,45,101
28546,93,42,103
29867,93,41,101
31233,93,40,101
32660,94,42,100
-31443,93,41,103
-30106,93,41,102
-28791,92,44,102
-27474,93,42,103
-26158,95,43,102
-24844,94,41,101
-23532,94,42,102
-22219,93,40,102
-20888,94,41,101
-19584,94,42,102
-18283,93,43,102
-16983,94,42,103
-15683,93,41,101
-14382,94,42,102
-13082,95,41,100
-11781,95,41,102
-10480,92,41,100
-9178,94,40,101
-7854,93,41,102
-6528,93,42,101
-5224,94,41,101
-3922,94,41,102
-1637,94,42,100
-292,94,42,102
1014,94,43,103
2317,93,41,101
3621,92,41,102
4926,92,42,102
6255,93,42,100
7561,94,41,101
8867,93,43,102
10173,93,42,100
11479,93,40,102
12786,95,41,101
14092,92,42,102
15399,93,43,102
16706,93,42,102
18014,95,41,101
19372,94,41,101
20683,94,41,102
21992,91,42,101
23301,92,42,102
25911,93,43,103
27252,95,43,101
30061,93,42,102
31459,93,41,102
-32729,93,42,102
-31382,92,43,101
-30025,94,45,102
-28709,95,41,100
-27393,95,42,100
-26077,94,42,101
-24763,94,42,101
-23450,93,42,100
-22103,92,43,101
-20700,94,42,103
-19353,95,40,100
-18048,92,42,102
-16726,94,42,102
-15425,93,42,102
-14125,93,42,102
-12824,92,41,100
-11523,94,42,102
-10222,94,42,103
-8921,93,41,100
-7619,93,41,101
-6317,93,42,101
-5014,93,43,101
-3690,92,42,101
-2387,95,41,103
-1084,93,42,102
219,94,40,102
1604,94,42,101
2995,93,43,102
4302,91,42,101
5608,95,41,102
6915,95,42,101
8221,94,41,101
9549,94,42,100
10855,91,42,101
12162,93,42,101
13468,94,41,101
14775,93,43,103
16082,93,42,101
17390,95,41,100
18697,94,43,101
20006,92,43,102
21315,93,41,101
22646,93,43,103
25258,94,41,101
26599,93,44,101
27945,93,41,103
29291,94,43,101
30637,95,41,103
31983,93,42,101
-32217,93,42,101
-30902,92,40,101
-29586,95,42,101
-28247,93,41,102
-26934,95,43,102
-25621,93,43,101
-24308,92,42,101
-22999,94,43,101
-21695,93,41,100
-20395,94,40,100
-19094,92,39,101
-17794,93,43,100
-16493,94,41,101
-15170,94,41,101
-13869,93,41,102
-12550,94,40,100
-11247,95,42,102
-9945,94,41,100
-8643,93,41,100
-7340,93,42,102
-6038,93,42,101
-4735,94,43,102
-3432,93,41,101
-2107,92,43,100
-803,93,44,100
501,93,42,103
1806,93,42,101
3112,93,42,100
4419,93,42,100
5725,92,44,103
7031,94,42,102
8337,92,42,101
9644,94,40,102
10973,94,42,103
12297,94,41,102
13607,94,41,101
14914,92,41,101
16319,93,43,101
17665,95,42,102
19972,95,43,102
21317,95,43,102
24344,94,42,103
25739,93,41,101
27082,95,40,101
28425,95,41,102
29771,93,42,103
31118,93,41,102
32453,93,42,101
-31768,93,42,102
-30147,94,43,100
-28345,93,41,103
-26952,94,39,101
-25640,94,41,101
-24305,93,41,100
-22996,92,42,101
-21692,92,40,101
-20392,94,43,102
-19091,91,41,101
-17791,93,42,101
-16490,94,42,101
-13636,92,41,103
-12299,94,40,102
-10998,93,41,101
-9675,90,40,101
-8373,93,44,101
-6987,92,43,101
-5658,93,42,101
-4344,93,41,102
-3006,91,42,101
-1701,94,41,103
-398,95,40,101
906,92,40,102
2210,93,42,101
3537,92,43,101
4843,93,42,101
6150,92,42,102
7455,93,41,101
8761,93,42,100
10067,93,41,101
11374,95,41,101
12681,92,42,101
13988,94,42,103
15294,92,41,102
16624,94,42,102
17932,92,40,101
19240,92,42,102
20549,93,43,101
21874,93,42,101
24500,93,42,104
25841,94,42,102
27162,94,41,103
28505,93,43,100
29851,93,41,102
31220,94,42,101
32555,95,41,101
-31665,93,42,102
-30349,94,41,102
-29033,94,43,101
-27719,94,42,101
-26406,94,43,100
-25094,93,42,100
-23785,94,41,102
-22481,95,41,101
-21158,93,42,101
-19858,93,41,101
-18540,93,42,100
-17238,92,41,102
-15937,94,42,103
-14636,93,41,102
-13246,92,42,101
-11897,95,43,102
-10588,91,43,102
-9286,94,42,103
