t,x,y,z
-24943,93,43,102
-23531,94,43,104
-22207,93,42,101
-20907,93,42,100
-19607,92,42,100
-18307,92,43,100
-17006,93,42,102
-15706,94,43,101
-14405,93,41,102
-13103,94,41,101
-11802,92,42,102
-10425,93,42,100
-9121,92,42,100
-7819,92,43,101
-6517,92,41,102
-5214,93,42,104
-3912,93,41,101
-979,93,42,100
362,92,40,102
2323,92,43,100
3847,95,42,101
5225,94,42,102
6559,94,41,103
8092,94,43,100
9766,93,41,100
11142,94,40,103
12454,92,41,101
13765,94,42,101
15109,95,41,100
16419,95,42,101
17720,92,42,101
19042,94,40,101
20342,94,41,102
21642,93,41,100
22943,93,41,100
24244,94,41,102
25545,94,42,101
27337,93,42,101
28690,94,42,101
30324,93,39,101
31636,94,40,102
-32576,93,41,101
-31273,94,42,99
-29970,94,41,101
-28667,95,42,101
-27364,94,42,101
-26031,96,42,102
-24725,94,43,102
-23421,95,42,101
-22116,92,40,100
-20812,93,41,102
-19484,93,41,102
-18179,93,41,100
-16873,94,42,100
-15568,94,41,100
-14261,95,43,101
-12955,95,42,102
-11346,93,40,101
-9995,94,41,102
-8688,93,42,101
-7380,94,41,101
-6051,93,41,102
-4743,94,42,102
-2157,92,41,102
-696,93,42,101
627,95,40,102
1969,93,41,103
3315,92,40,102
4661,93,41,101
5995,94,43,99
7309,94,41,102
8648,92,42,101
9964,92,43,101
11276,93,41,99
12587,94,41,101
13898,96,40,100
15205,94,42,101
16507,94,42,100
17807,93,43,100
19107,94,42,101
20408,95,41,100
21731,94,40,100
23032,94,42,100
24357,92,41,100
25661,95,42,100
26963,94,41,101
28265,95,40,101
29567,92,41,102
30985,93,41,100
32335,93,42,101
-31898,93,43,103
-30573,93,40,101
-29269,95,42,100
-27965,93,42,101
-26661,92,40,102
-25357,92,41,101
-24053,93,41,101
-22748,92,42,101
-21442,93,40,101
-19899,93,42,102
-18218,93,40,101
-16837,93,42,102
-15529,93,41,101
-14222,93,41,101
-12529,93,42,101
-11172,93,42,102
-9865,93,42,101
-8480,91,41,101
-7170,93,42,101
-5862,94,40,100
-3269,93,42,101
-1515,94,41,102
-137,92,43,101
1522,94,42,101
2894,96,41,102
4240,92,43,101
5574,93,42,101
6890,92,40,102
8236,94,44,103
9554,94,42,101
10867,92,43,102
12200,93,41,100
13511,92,43,100
14819,93,42,101
16120,95,42,101
17421,92,43,101
18721,94,42,101
20022,95,41,101
23077,93,42,102
24491,92,41,102
25799,93,42,101
27123,93,41,101
28425,94,43,101
29727,95,40,101
31030,93,42,100
32333,93,41,101
-31823,93,42,101
-30518,92,42,102
-29215,93,43,103
-27911,94,41,101
-26607,93,43,101
-25281,94,41,101
-23976,94,40,103
-22671,93,42,100
-21366,93,43,100
-20060,93,41,103
-18754,93,43,102
-17448,94,43,100
-16142,93,42,101
-14836,94,43,101
-13529,93,41,101
-12200,93,41,100
-10893,92,42,102
-9586,93,41,101
-8278,94,41,101
-6947,93,41,103
-5637,93,42,100
-3038,95,42,102
-1698,94,43,102
-365,92,42,103
1086,95,43,102
2462,94,41,102
3796,94,42,100
5110,94,41,100
6425,94,42,101
7740,94,41,102
9053,92,42,102
10364,93,43,99
11674,92,41,102
12982,93,41,101
14283,95,42,101
15708,93,40,104
17051,93,41,102
18372,93,42,101
19675,92,41,101
20976,93,42,102
22277,95,42,101
23931,93,43,102
25271,93,42,103
26572,94,43,102
27875,94,40,101
29199,92,41,101
30502,93,42,101
31805,93,42,102
-32427,93,40,101
-31124,94,43,102
-29522,93,41,103
-27935,94,42,101
-26597,93,43,100
-25293,92,41,101
-23940,93,41,103
-22573,93,43,101
-21265,96,40,102
-19960,91,41,101
-18654,92,42,101
-17348,94,41,101
-16041,93,41,103
-14734,93,42,101
-13428,94,40,103
-12121,94,43,103
-10813,94,39,100
-9483,93,42,101
-8176,92,42,101
-6868,93,43,102
-4284,94,41,101
-2641,94,41,101
-1286,93,40,104
58,93,40,102
1403,93,41,101
2793,93,41,102
4109,92,42,102
5446,95,40,101
6761,93,42,100
8074,94,41,100
9385,95,41,101
10695,92,41,99
13053,93,41,100
14399,93,42,101
15701,94,43,103
17001,94,41,103
18302,93,42,101
19625,94,43,101
20926,94,40,102
22227,93,41,101
23529,93,42,99
24831,94,43,100
26133,94,41,101
27461,93,42,100
28765,93,42,102
30068,94,40,100
31371,93,42,100
32697,94,42,101
-31536,94,41,103
-30147,94,42,101
-28827,93,41,101
-27523,93,42,101
-26218,94,41,101
-24914,94,43,100
-23609,93,40,101
-20892,92,41,101
-19534,93,42,100
-18206,93,43,100
-16900,96,41,101
-15594,93,43,102
-14287,93,43,100
-12946,95,41,102
-11516,95,40,101
-10197,93,42,101
-8890,93,41,101
-7582,94,41,101
-6275,94,42,101
-3658,94,40,100
-2317,95,41,101
-985,92,42,103
359,94,43,101
1704,93,41,101
3038,92,42,101
4351,92,41,102
5666,93,42,103
7366,92,41,101
8694,93,42,101
10027,94,42,102
11367,94,41,101
12676,93,42,101
13978,93,43,102
15278,95,41,101
16578,91,44,101
17879,94,41,101
19179,94,42,101
20480,93,41,100
21781,95,42,99
23105,93,42,103
24407,93,42,102
25709,93,41,101
27011,93,41,100
28313,93,42,101
29616,93,41,103
30919,92,40,102
32222,93,42,102
-32011,92,40,100
-30707,93,41,101
-29349,94,41,102
-28027,93,42,102
-26720,93,41,101
-25416,93,41,102
-24111,94,42,105
-22805,93,39,101
-21499,93,44,100
-20194,94,42,100
-18888,94,42,100
-17581,95,41,101
-16252,92,42,103
-14946,93,43,101
-13639,95,42,100
-12331,91,42,101
