t,x,y,z
-161,96,42,102
1225,95,42,103
2526,94,43,101
3826,94,42,101
5125,93,41,100
6425,94,44,101
7726,92,41,99
9026,93,41,101
10444,92,41,100
11785,93,42,100
13086,94,41,103
14387,93,42,101
15688,94,42,99
17067,93,42,102
18371,94,42,101
19674,93,41,101
20976,92,42,101
22279,91,42,101
23581,95,42,101
24907,94,42,100
26211,94,42,100
27514,93,43,100
28818,93,42,100
30123,94,41,100
31428,92,42,101
32733,94,41,100
-31498,93,43,101
-30192,92,43,101
-28887,94,40,101
-27559,93,41,99
-26252,94,41,100
-24946,93,43,102
-23614,94,42,102
-22304,94,43,102
-20997,94,43,102
-19690,93,41,101
-17071,94,41,102
-15694,93,42,101
-14373,93,41,102
-13007,93,42,100
-11662,93,42,101
-10315,95,42,103
-8980,93,40,101
-7662,94,42,100
-6342,93,41,103
-5023,92,41,100
-3708,92,43,102
-2394,93,40,102
-1080,93,42,101
254,95,41,101
1581,92,42,101
2890,94,42,100
4197,94,42,102
5502,94,43,103
6806,94,43,101
8108,94,42,101
9409,94,41,100
10711,93,41,105
12014,94,42,102
13339,94,40,101
14641,93,42,102
15944,94,42,102
17247,94,43,103
18550,93,41,99
21253,92,43,101
22597,93,42,101
23903,92,41,103
25208,93,43,101
26545,93,39,101
27874,93,40,101
29180,94,42,101
30485,94,42,101
31791,92,43,101
-32439,93,42,101
-31132,93,42,100
-29824,94,40,100
-28226,93,42,103
-26549,93,41,103
-25233,92,40,102
-23903,92,40,103
-22595,92,41,101
-21287,94,42,102
-19866,93,42,101
-17154,93,41,101
-15759,95,42,103
-14049,95,42,104
-12659,92,40,102
-11311,93,43,101
-9964,95,42,103
-8606,92,41,101
-7285,93,42,102
-5965,93,41,100
-4646,95,41,103
-3331,93,40,101
-2017,92,41,102
-703,93,40,101
609,93,42,102
1919,94,41,100
3226,94,41,103
4555,95,42,102
5860,93,41,101
7165,91,42,102
8466,94,41,100
9768,93,42,100
11103,94,41,101
12407,95,42,100
13709,93,40,101
15012,93,41,101
16315,93,42,103
17640,93,42,102
18943,95,41,102
20247,93,42,100
21551,93,41,102
22856,94,41,102
24160,95,41,102
25465,93,42,102
26770,94,41,101
28076,93,41,101
29381,94,42,100
30709,93,42,101
32015,94,40,101
-32215,93,40,102
-30858,94,41,102
-29515,93,41,103
-28206,96,43,102
