t,x,y,z
-19976,93,42,102
-18517,95,42,102
-17215,93,44,102
-15916,93,42,100
-14617,93,43,101
-13317,95,43,101
-11995,94,44,100
-10695,94,41,102
-9394,93,42,101
-8093,94,43,100
-6793,95,41,101
-5492,93,43,101
-4190,93,42,100
-2888,94,42,100
-1586,93,42,98
-133,93,43,99
1217,93,44,102
2520,92,42,100
3824,94,41,101
5127,93,42,100
6448,93,42,101
7754,94,40,101
9059,95,42,102
10363,94,42,101
11667,92,42,101
12972,92,43,103
14299,91,41,101
15604,93,43,99
16910,95,43,102
18216,93,41,101
19522,94,41,100
20829,92,45,103
23553,94,41,103
24920,94,42,101
26251,93,41,101
27584,94,42,100
28950,94,44,100
30304,93,41,101
31653,93,42,101
-32552,95,42,100
-31241,93,42,101
-29777,93,44,100
-28433,94,44,101
-27127,94,41,102
-25827,93,43,101
-23141,94,42,100
-21758,93,43,101
-20455,95,43,101
-19154,93,41,100
-17853,94,43,103
-16552,93,43,100
-15251,94,42,102
-13948,92,40,101
-12646,94,44,101
-11343,94,41,101
-10010,93,44,103
-8682,93,42,100
-7379,94,41,101
-6075,94,41,102
-4771,91,43,100
-3467,94,42,101
-2163,93,43,101
-858,94,43,101
447,92,43,100
1752,95,42,103
3057,95,42,100
4385,94,42,102
5692,93,43,103
8639,96,42,101
10013,93,41,100
11324,94,41,102
12631,95,42,100
13938,95,41,101
15330,94,42,100
16640,93,41,100
17948,94,43,101
19278,93,42,101
20586,93,43,100
21895,94,41,100
24519,94,41,100
25868,91,42,100
27197,93,42,100
28530,94,43,101
29873,94,43,101
31215,94,43,101
32557,94,42,100
-31626,95,42,102
-30315,92,42,100
-28873,94,41,101
-27549,95,41,100
-26244,92,41,101
-24926,95,42,101
-23623,94,42,101
-22323,95,42,101
-21023,95,43,99
-19722,94,43,102
-18398,93,42,100
-17097,93,42,101
-15796,94,42,103
-14494,94,42,101
-13192,95,42,101
-11889,93,43,100
-10587,93,41,101
-9284,95,41,100
-7981,93,42,101
-6677,93,42,100
-5351,94,42,101
-4047,94,42,101
-2743,95,42,100
-1438,94,42,100
-116,94,41,100
1191,92,42,100
2496,94,43,101
3802,93,42,101
5200,93,42,103
6522,93,42,100
7851,94,41,101
9157,95,42,99
10464,93,42,101
11771,94,42,99
13079,95,41,100
14386,94,42,101
15694,93,41,102
17002,92,41,102
18311,94,42,102
19619,93,41,100
22240,91,41,101
23590,94,41,102
24935,94,42,101
26271,91,42,101
27614,94,42,102
28956,93,42,100
30298,94,41,102
31629,93,41,101
-32596,94,41,102
-31286,93,42,101
-29956,93,42,100
-28650,94,43,100
-27350,93,43,101
-26049,92,42,101
-24749,94,42,100
-23449,94,43,100
-22148,94,42,100
-20847,93,43,101
-19546,93,42,100
-18245,95,41,100
-16920,93,40,100
-15571,94,42,101
-14266,94,42,101
-12963,94,42,101
-11660,92,42,100
-10357,93,41,101
-9053,95,43,101
-7750,94,42,100
-6446,93,41,100
-5142,93,41,100
-3815,95,41,100
-1507,94,42,102
-144,94,41,100
1163,94,42,102
2469,93,43,100
3775,94,42,100
5081,95,43,101
6389,94,42,102
7954,95,43,101
9429,94,42,101
10765,94,39,100
12072,94,43,101
13872,94,42,101
15482,95,42,102
16873,94,42,100
18181,93,43,103
19490,94,42,100
22127,93,43,100
23477,93,43,102
24805,94,41,102
26160,95,43,99
27503,94,42,101
29206,94,42,101
30589,94,42,101
31919,93,42,102
-32306,93,42,102
-30974,94,42,101
-29664,93,43,101
-28359,94,42,102
-27058,93,43,101
-25619,93,43,102
-24301,93,42,101
-23001,95,42,102
-21700,94,44,101
-20399,93,42,100
-19098,94,43,100
-17797,93,42,101
-16495,95,41,100
-15193,93,41,102
-13891,93,41,101
-12566,95,43,101
-11263,94,41,101
-9960,92,42,100
-8656,93,41,102
-7353,93,43,101
-6031,94,42,101
-4724,93,42,102
-3420,94,42,102
-2115,95,42,100
-810,96,43,103
517,92,43,101
1823,94,44,101
3129,94,43,100
4435,94,43,102
5741,93,42,102
7048,94,42,100
8354,92,43,103
9661,92,43,100
10969,93,41,102
12276,93,42,101
13606,93,42,100
14914,95,41,100
16222,92,43,101
17531,93,42,100
20184,93,42,100
21536,93,43,100
22864,92,42,101
24198,92,42,101
25541,94,41,100
26882,94,42,101
28247,94,41,102
29577,94,41,102
30889,94,43,100
32198,93,42,100
-32030,94,43,101
-30724,92,43,102
-29423,93,41,101
-28123,94,43,105
-26823,95,43,102
-25523,93,42,101
-24200,94,43,100
-22899,93,44,101
-21572,94,42,101
-20023,94,43,100
-18365,93,41,101
-17047,93,41,99
-15744,94,43,102
-14442,93,42,102
-13138,92,42,100
-11835,94,42,101
-10509,93,41,101
-9205,94,41,102
-7901,93,43,100
-6597,92,43,101
-5293,95,43,101
-3988,94,41,101
-2163,94,41,101
-711,93,41,100
606,93,42,100
1912,93,43,102
3281,94,42,100
4590,95,43,102
5897,93,40,101
7204,95,43,100
8628,93,43,100
9990,93,40,100
11696,93,41,101
13031,92,43,101
14338,93,42,101
15647,93,42,100
16978,92,42,101
19606,94,43,101
20956,93,42,101
22284,94,43,102
23617,93,42,102
24960,94,42,101
26302,93,43,103
27671,94,42,105
29004,93,43,100
30315,95,42,100
31647,95,41,102
-32581,92,42,102
-31276,93,42,100
-29975,93,43,100
-28675,94,41,101
-27375,92,42,101
-26074,94,43,100
-24774,94,41,101
-23473,94,42,99
-22172,93,42,102
-20848,94,42,103
-19546,94,42,102
-18244,92,42,102
-16941,95,42,102
-15639,94,41,100
-14336,94,40,101
-13021,93,43,101
-11711,94,42,100
-10405,92,42,102
-9101,95,43,101
-7775,94,42,101
-6470,93,41,101
-5166,95,43,100
-3860,94,42,101
-2555,92,41,100
-1250,93,41,100
56,94,42,103
1362,94,41,101
2669,91,41,100
3975,93,44,101
5305,93,40,100
6612,93,41,100
7919,94,40,100
9227,93,43,100
10535,92,40,102
11842,92,41,100
13201,93,43,101
14511,93,42,102
17460,94,42,100
18850,94,41,102
20554,95,42,100
22154,92,41,103
23612,93,41,101
24954,94,41,101
26296,95,43,100
27627,95,42,102
28938,94,42,101
30248,93,41,100
31556,94,43,101
-32674,94,41,101
-31351,95,42,101
-30051,94,42,101
-28751,95,43,102
-27422,94,42,103
-26119,93,41,101
-24817,94,45,102
-23516,94,42,100
-22080,93,41,101
-20728,94,41,101
-19426,94,42,101
-17773,92,41,100
-16436,93,42,101
-15133,92,43,101
-13830,94,43,101
-12461,94,41,101
-11155,95,42,101
-9851,94,42,101
-8547,94,41,100
-7242,94,42,101
-5937,95,42,101
-4609,94,42,101
-3287,93,41,99
-1979,94,42,101
-673,93,41,100
633,93,42,102
1940,93,43,99
3247,96,42,101
4554,95,42,101
5861,95,42,100
7168,94,42,100
8498,95,42,101
9806,95,41,101
11114,95,40,98
12423,94,39,100
13731,95,39,98
16364,93,35,96
19189,92,32,93
20545,78,31,71
21911,78,37,69
23259,74,38,71
24623,66,34,76
25965,59,27,75
27296,49,21,69
28607,44,20,64
29916,40,20,60
31224,38,24,54
32530,38,24,53
-31706,35,26,53
-30406,38,29,55
-29106,35,29,56
-27783,40,34,58
-26482,40,34,66
-25181,44,39,71
-23881,49,37,75
-22579,53,36,80
-21277,58,37,81
-19975,62,38,82
-18620,68,41,85
-17313,74,43,89
-16010,77,44,95
-14685,83,45,96
-13284,84,43,97
-11933,85,45,97
-10627,88,44,98
-9323,90,43,100
-7648,90,43,100
-6042,90,41,100
-4710,90,41,101
-3405,94,42,100
-2100,93,42,99
-771,92,42,100
535,93,43,99
1841,95,42,101
3148,93,43,101
4455,94,42,101
5762,94,43,100
7100,93,42,100
8407,93,43,101
9715,93,44,99
11023,93,42,101
12450,95,43,101
13781,93,42,101
16398,93,42,100
17753,93,43,100
19081,93,42,101
20414,95,43,101
21757,92,43,102
23099,94,42,100
24441,94,43,100
25772,94,42,103
27105,93,42,100
28415,94,42,100
29723,93,41,100
31044,93,43,101
32349,94,43,101
-31887,93,40,100
-30586,94,42,102
-29286,95,43,101
-27985,94,42,102
-26684,92,43,102
-25361,92,41,101
-24060,93,43,102
-22758,92,43,102
-21455,95,41,100
-20153,93,42,101
-18850,93,43,100
-17547,95,42,102
-16244,92,44,101
-14940,92,42,100
-13637,93,41,101
-12311,94,42,101
-11007,93,42,102
-9702,95,44,102
-8380,94,42,100
-7075,93,43,99
-5769,93,43,100
-4464,94,42,101
-3158,94,41,101
-1852,93,43,101
-545,94,43,101
784,94,42,101
2091,93,40,100
3397,93,41,102
4705,93,45,101
6012,95,40,101
8344,93,41,103
9694,93,43,101
11004,93,42,100
12313,94,41,101
14921,93,42,102
16391,94,40,100
17726,97,43,100
19059,94,42,99
20402,93,43,101
21744,92,39,101
23328,95,42,99
24986,94,42,100
26349,93,43,101
27659,92,42,101
29428,95,41,100
31058,94,42,101
32399,93,43,102
-31837,93,42,102
-30537,95,42,102
-29237,95,41,101
-26738,94,41,101
-25119,95,42,100
-23793,95,43,102
-22492,93,42,102
-21190,93,41,99
-19865,94,44,101
-18479,95,42,101
-17156,93,43,100
-15853,92,42,100
-14550,95,43,101
-13246,95,42,101
-11943,94,42,102
-10639,94,42,99
-9335,94,42,101
-8030,94,43,101
-6703,94,42,101
-5398,94,42,101
-4093,95,43,100
-2787,92,43,101
-1481,93,42,101
-165,93,43,101
1151,93,42,101
2457,93,43,101
3764,95,43,100
5071,94,42,102
6401,93,43,102
7709,95,40,100
9017,92,42,100
10324,94,42,100
11633,93,42,102
12941,94,44,100
15576,93,41,101
16930,93,41,101
18258,93,43,102
19592,93,42,100
20957,94,42,101
22299,93,43,101
23641,94,42,102
24987,92,42,100
26303,95,42,100
27613,93,40,100
28921,94,42,101
30227,94,42,100
31527,92,44,101
-32709,93,42,101
-31386,94,42,100
-30086,92,42,100
-28785,94,43,102
-27484,95,42,101
-26183,92,43,101
-24882,94,41,100
-23580,94,42,102
-22277,94,42,100
-20975,94,41,102
-19672,92,41,101
-18347,93,43,100
-17044,94,42,101
-15706,93,42,101
-14380,94,41,100
-13076,95,41,100
-11772,93,42,100
-10467,93,41,103
-9163,95,40,102
-7857,93,40,100
-6552,94,42,100
-5124,95,43,101
-3771,94,41,101
-2465,94,41,101
-1158,93,42,101
148,94,42,100
1455,93,43,101
2762,94,40,101
4070,93,42,100
5377,94,42,102
6685,94,43,101
8015,94,40,101
9334,94,42,100
10651,94,42,103
13237,94,43,100
14591,94,44,101
16015,92,42,101
17386,93,43,100
18729,94,41,100
20071,95,41,101
21413,92,42,100
22766,93,42,101
24077,95,42,101
25387,91,41,101
26695,94,42,100
28984,93,43,102
30365,95,43,101
31667,92,43,99
-32568,94,41,102
-31246,95,43,100
-29939,93,42,102
-28613,95,42,100
-27312,92,41,101
-26010,95,42,101
-24708,96,43,101
-23406,94,43,102
-22103,95,41,101
-20800,92,44,101
-19497,94,43,100
-18194,94,41,101
-16890,92,41,100
-15564,94,42,100
-14260,94,41,102
-12955,94,42,102
-11651,93,44,101
-10346,95,42,100
-9040,94,41,102
-7735,94,42,101
-5071,94,41,100
-3706,94,41,100
-2398,95,41,102
-1069,95,43,102
238,94,42,102
1545,93,43,101
2852,93,41,100
4159,96,43,102
5467,95,43,101
6775,94,42,100
8083,93,41,101
9391,94,44,100
10699,93,44,101
13352,93,41,101
14706,94,41,100
16034,93,42,101
17368,93,43,103
18713,92,42,101
20116,92,42,100
21460,93,42,100
22791,94,42,100
24103,92,42,99
25413,94,42,100
26743,94,42,101
28049,92,41,102
29349,93,42,100
30650,94,41,102
32079,96,42,101
-32140,93,43,101
-30839,94,41,100
-29538,94,44,102
-28237,94,42,100
-26936,95,43,101
-25611,94,43,101
-24309,94,42,100
-23006,92,43,101
-21687,95,41,102
-20381,95,40,101
-19078,95,42,100
-17774,93,43,102
-16470,94,40,102
-15074,92,41,101
-13754,94,42,103
-12427,94,42,101
-11123,92,42,100
-9817,92,41,100
-8512,93,43,101
-7206,93,41,102
-5900,94,42,100
-4594,93,44,100
-3287,95,43,102
-1981,95,43,100
-673,94,43,100
656,93,41,101
1963,94,42,101
3289,93,41,101
4599,94,42,100
5907,94,42,102
7216,92,43,101
8524,93,42,101
11125,94,43,101
12480,93,43,102
13808,94,41,101
15164,96,42,102
16507,94,42,102
17849,94,41,101
19191,93,43,102
20522,93,43,100
21833,93,42,102
23143,92,41,102
24451,94,43,102
25757,94,42,100
27057,94,42,102
28397,92,42,102
29700,93,40,100
31000,92,41,101
32301,93,42,102
-31934,94,43,101
-30633,93,41,101
-29331,95,44,104
-28029,94,43,102
-26727,93,42,102
-25424,93,42,100
-24099,95,44,102
-22796,93,42,102
-21493,94,42,102
-20189,93,43,102
-18885,95,43,101
-17581,95,41,101
-15299,94,42,101
-13950,94,43,100
-12643,94,41,101
-11275,94,44,101
-9945,94,42,100
-8640,92,42,102
-7334,93,42,101
-6028,93,43,102
-4721,93,42,101
-3415,94,43,102
-2108,93,42,101
-801,94,43,101
507,94,42,101
1814,93,43,100
3375,94,39,102
4835,93,42,101
6172,95,42,101
7889,93,43,101
10890,94,43,102
12276,95,41,101
13633,95,43,102
16447,94,41,102
17853,93,40,101
19287,96,44,102
20680,93,40,101
22011,94,43,101
23322,94,41,100
24632,94,40,102
25940,93,43,100
27245,94,43,100
28546,94,43,101
29846,94,41,102
31146,95,42,100
32446,93,42,101
-31767,94,41,102
-30466,93,42,102
-29165,93,43,102
-27843,94,43,101
-26535,94,42,101
-25230,95,44,102
-23928,94,42,101
-22625,93,44,102
-21322,93,42,101
-20019,92,43,102
-18693,94,43,101
