t,x,y,z
-29980,95,41,102
-28602,94,41,104
-27285,94,42,101
-25984,93,42,101
-24684,96,41,101
-23362,93,41,99
-22062,94,42,100
-20597,94,41,101
-19271,96,40,101
-17935,94,42,99
-16632,93,41,100
-15331,92,42,102
-13628,94,41,101
-12279,94,42,101
-10977,93,42,100
-9652,94,41,100
-8350,92,42,101
-7046,94,42,101
-5742,94,42,102
-4438,92,41,101
-3003,94,41,102
-1667,94,40,102
-363,93,41,102
942,93,41,101
2247,92,41,99
3574,94,42,103
6198,94,42,100
7596,93,41,100
8929,93,41,101
10269,92,41,100
11612,93,43,100
12945,92,42,100
14259,93,43,100
15573,92,42,101
16886,94,41,101
18218,95,41,100
19526,92,40,100
20833,95,41,102
22138,93,42,99
23440,93,43,101
24742,94,42,101
26045,94,42,100
27348,93,42,101
28651,91,40,101
29954,93,43,100
31280,94,42,100
32608,93,42,103
-31622,92,41,101
-30317,91,41,102
-29013,94,41,101
-27708,92,43,100
-25038,94,42,102
-23643,94,40,101
-22336,92,42,102
-21030,93,40,101
-19701,92,42,101
-18394,93,41,103
-17087,93,42,101
-15780,92,41,101
-14471,93,40,102
-13163,94,40,104
-11855,94,42,102
-10546,93,39,100
-9237,94,41,101
-7899,92,42,101
-6566,95,42,99
-5256,93,43,100
-3946,93,40,101
-2636,93,42,102
-1326,92,40,103
-15,93,42,101
1295,91,42,101
2606,93,39,100
6729,93,40,99
8247,92,42,102
9611,93,42,100
10951,91,42,99
12294,94,41,103
13627,93,41,101
15032,94,41,100
16420,93,42,101
17742,93,41,101
19051,94,41,100
20360,94,41,101
21667,93,42,101
22994,93,42,100
24296,93,40,100
25598,93,43,101
26901,94,42,101
28204,94,42,103
29508,93,40,100
30811,95,42,102
32212,93,42,101
-32009,93,42,103
-30705,93,43,102
-29379,92,42,101
-28074,94,41,101
-26769,93,41,102
-25464,93,42,100
-24108,93,42,100
-22798,94,41,100
-21492,93,42,100
-20186,94,40,102
-18878,93,42,100
-17571,93,43,100
-16242,93,40,102
-14933,94,42,100
-13625,94,42,99
-12316,95,42,102
-11008,94,42,101
-9699,93,41,101
-8389,94,43,102
-7080,95,41,100
-5770,93,42,101
-4461,94,42,101
-3128,92,43,103
-1818,93,41,103
-507,94,42,102
821,94,41,100
2139,93,41,100
4809,94,42,102
6176,93,41,101
7506,93,42,101
8847,92,42,102
10189,93,43,100
11544,91,42,100
12859,94,41,102
14172,94,43,99
15485,93,41,102
16794,94,40,101
18102,94,41,101
19409,92,42,100
20713,92,41,100
22016,94,41,101
23318,92,42,102
24643,93,42,101
25964,91,42,101
27269,94,41,102
28572,91,42,100
29876,93,41,102
31179,93,40,100
32483,92,42,101
-31749,93,40,101
-30444,92,41,101
-29140,93,42,100
-27812,94,41,102
-26507,93,43,101
-25202,93,41,100
-23896,92,42,100
-22590,93,41,101
-21283,93,42,101
-19975,94,43,102
-18668,92,44,100
-17361,95,42,101
-16053,91,41,102
-14712,94,42,100
-13397,93,40,101
-11973,93,41,101
-10639,93,42,100
-9329,93,43,101
-8019,93,42,101
-6710,91,41,99
-5400,94,41,101
-3071,93,43,100
-1730,92,41,101
-397,93,41,102
1020,93,41,99
3626,93,40,100
4970,93,41,102
6717,94,43,103
8112,92,41,100
9759,93,42,101
11193,92,42,102
12510,93,41,103
13824,93,41,101
15159,93,42,102
16468,93,40,101
17776,93,40,99
19083,93,41,100
20387,94,41,102
21689,92,41,101
22992,93,43,101
24294,94,42,101
27417,92,42,100
28931,94,42,102
30259,92,42,102
31563,94,41,101
-32669,95,42,101
-31365,92,42,102
-29917,94,42,102
-28590,94,40,100
-27285,93,43,102
-25980,93,41,102
-24675,93,40,100
-23369,92,42,102
-22041,93,41,101
-20735,94,42,101
-19428,93,41,101
-18120,93,42,101
-16813,94,40,103
-15505,94,41,101
-14197,93,40,102
-12889,93,40,101
-11581,93,42,100
-10272,93,41,101
-8940,92,42,102
-7631,93,40,103
-6321,93,41,101
-4993,93,41,99
-3681,92,40,100
-2371,94,42,101
-1061,92,42,102
250,92,41,101
1561,93,43,102
4154,94,42,102
5521,95,40,101
6848,93,42,103
8189,94,41,100
9532,94,43,101
10865,92,42,100
12179,93,42,102
13493,93,41,99
14806,93,41,100
16115,92,41,101
17423,92,39,103
18752,94,42,101
20074,93,43,103
21379,93,41,100
22681,94,42,100
24080,94,41,100
25423,93,42,101
26731,92,42,101
28034,92,41,102
29338,92,41,100
30642,94,42,100
31968,94,42,102
-32264,95,41,99
-30959,92,42,100
-29565,94,41,102
-28242,93,42,99
-26937,92,41,101
-25631,93,41,101
-24325,92,43,101
-23019,94,43,102
-21712,92,41,101
-20364,93,41,101
-19055,91,41,100
