t,x,y,z
25401,95,42,103
26805,93,44,104
28138,93,43,101
29437,94,42,102
30737,93,41,103
32059,95,42,100
-32177,93,40,101
-29449,94,42,100
-26672,95,42,102
-25298,94,42,104
-23957,95,40,102
-22567,93,42,102
-21221,93,42,100
-19889,94,42,103
-18575,96,43,101
-17240,94,43,101
-15928,92,42,101
-14618,94,42,101
-13309,93,42,100
-12004,92,43,100
-10701,93,41,101
-9398,94,40,103
-8094,94,43,100
-6790,94,43,102
-5486,94,42,100
-4160,93,42,101
-2856,93,42,101
-1551,94,42,100
35,95,44,100
1773,93,43,102
4504,94,42,102
5964,94,41,102
7285,92,43,104
8591,93,42,102
9897,94,42,102
11226,93,41,102
12533,95,40,101
13839,94,41,100
15146,94,41,102
16454,94,43,102
17762,94,43,101
19070,94,41,101
20379,94,43,102
21688,95,43,101
22997,93,42,101
24328,93,42,102
25637,93,41,103
26982,95,41,101
28294,94,41,102
29604,94,42,100
30914,95,41,102
32225,93,42,102
-32000,94,42,100
-30690,93,41,102
-28099,92,43,101
-26737,94,42,100
-25422,92,41,103
-24082,95,43,102
-22740,93,42,101
-21396,94,41,103
-19962,93,41,101
-18633,93,43,101
-17320,93,42,101
-16008,95,43,100
-14699,94,42,101
-13233,93,43,102
-11919,95,42,103
-10615,94,42,101
-9312,93,42,104
-8009,92,42,101
-6705,93,42,101
-5401,94,42,101
-4097,95,41,101
-2793,92,42,101
-1489,95,43,101
-162,94,42,100
1143,93,41,101
2448,93,41,101
3754,94,42,101
5059,95,42,101
6365,94,43,101
7671,95,41,103
8978,93,42,102
10284,95,42,100
11616,93,42,102
12947,94,43,102
14255,93,41,102
15992,94,41,101
17343,94,41,101
18652,95,42,103
19960,94,42,101
21269,93,42,101
22578,93,40,102
23888,93,44,100
25197,93,42,101
26530,96,41,101
27839,93,42,102
29150,94,42,102
30460,94,41,102
31771,94,43,102
-32454,93,42,102
-29835,93,41,100
-28383,95,41,101
-27026,94,42,101
-25687,93,42,102
-24322,95,41,101
-22978,93,42,102
-21646,95,42,100
-20332,94,42,101
-19019,95,42,102
-17707,93,43,102
-16398,94,41,101
-15089,92,41,101
-13784,94,43,100
-12481,93,41,101
-11156,93,42,101
-9852,94,40,103
-8548,94,41,102
-6286,94,40,102
-4824,94,40,103
-3517,93,42,103
-2213,94,43,103
-908,93,42,103
397,94,43,101
1702,94,41,101
3030,95,43,101
4335,93,43,102
5641,96,42,102
6947,95,42,101
8254,93,42,101
9560,94,41,100
10867,94,41,100
12174,93,43,101
13482,94,42,101
14873,95,43,101
16222,94,42,100
17530,93,42,100
18839,94,40,100
20200,94,41,101
21511,93,42,100
22820,94,41,102
25513,94,43,102
26875,93,41,102
28187,94,42,101
29604,94,43,100
30948,94,43,102
32259,94,42,102
-31966,95,41,100
-29357,94,43,102
-28017,94,40,100
-26702,94,42,101
-25362,94,41,102
-24019,95,43,101
-22676,92,43,102
-21343,94,41,101
-19972,94,41,102
-18657,95,43,102
-17344,92,41,101
-16035,94,42,102
-14726,94,44,102
-13068,94,43,102
-11705,93,42,101
-10402,94,42,103
-9099,93,43,102
-7795,94,43,104
-6469,94,43,105
-5164,92,42,102
-3860,93,41,101
-2555,93,42,103
-1251,92,42,102
55,94,40,103
1360,93,42,102
2665,94,41,102
3971,93,40,101
5305,93,41,100
6636,94,44,102
8039,95,42,102
9382,94,42,102
10691,93,41,102
11998,93,42,101
13306,94,42,102
14615,92,42,104
15923,94,41,103
17231,94,43,101
18540,93,42,103
19872,92,42,101
21181,94,42,100
22490,93,41,103
23800,94,43,102
25110,95,41,101
26420,94,41,101
27730,94,41,103
29041,94,41,101
30369,94,41,102
31682,93,43,102
-31245,93,42,102
-29906,95,42,102
-28590,95,41,102
-27250,93,43,100
-25908,95,41,100
-24564,93,42,102
-23231,95,43,102
-21918,93,42,102
-20605,94,42,103
-19293,93,41,101
-17960,94,42,102
-16568,93,43,102
-15245,96,41,101
-13942,94,45,103
-12639,95,40,102
-11335,93,42,102
-9981,92,42,103
-8674,95,42,102
-7370,95,43,102
-6066,92,42,101
-4739,96,40,102
-3434,95,42,101
-2129,94,41,102
-824,94,42,101
482,93,42,101
1787,94,41,101
3094,94,42,102
4400,96,41,100
5706,93,42,101
7013,93,43,101
8342,94,43,101
9650,92,40,102
10957,94,41,102
12266,93,43,101
13574,95,40,100
15941,95,42,101
17267,95,43,103
18576,94,43,102
19885,94,41,101
21195,94,41,102
22527,95,41,102
23837,93,42,101
25147,94,43,103
26457,93,41,102
27768,96,42,102
29079,94,42,103
30390,95,42,102
-32542,93,40,100
-31203,94,42,101
-29887,92,41,103
-28525,94,42,102
-27183,92,42,101
-25815,93,40,101
-24478,95,41,101
-23164,94,41,103
-21851,94,43,102
-18848,93,42,100
-17322,94,43,102
-16002,94,41,101
-14697,96,43,102
-13371,94,42,101
-12068,94,41,101
-10765,94,40,101
-9461,93,42,102
-8157,94,42,102
-6853,93,43,101
-5549,92,42,101
-4244,94,43,102
-2939,94,41,101
-1606,94,42,101
-270,94,42,102
1038,93,42,103
2343,93,41,101
3649,95,42,102
4956,94,44,102
6262,94,42,101
7569,92,41,102
8876,93,42,102
10183,93,42,101
11490,94,41,101
12821,94,41,103
14129,95,41,100
15438,93,42,100
16747,94,43,101
18149,94,42,101
19474,93,41,102
20783,95,42,102
22093,94,41,102
23454,94,43,103
24768,93,41,103
26101,94,41,102
27411,95,40,102
28722,94,40,101
30033,93,43,100
32635,94,43,103
-31559,92,42,100
-30244,95,42,102
-28904,94,41,101
-27561,95,43,103
-26218,94,43,102
-24863,95,43,101
-23549,94,42,101
-22236,94,41,102
-20924,93,43,101
-19615,92,42,101
-18306,93,43,103
-16974,95,41,101
-15669,93,41,102
-14366,94,43,102
-13062,92,42,102
-11736,94,42,101
-10432,92,41,103
-9128,94,42,102
-7824,95,44,101
-6519,93,43,101
-5215,96,40,103
-3910,92,42,101
-2605,95,43,102
-1299,92,42,101
7,94,42,103
1335,93,41,103
2641,93,40,102
3948,94,43,101
5254,94,41,103
6561,93,41,101
7886,93,41,102
9195,94,39,100
10504,94,39,99
11812,93,36,99
13120,90,33,93
14452,87,30,87
15911,85,29,81
17268,81,30,73
18577,77,34,67
19887,75,38,71
21197,73,37,76
22507,67,32,81
23817,56,27,77
25128,49,22,70
26438,44,21,64
27772,42,23,56
30335,40,24,54
31677,39,26,53
-32519,39,32,55
-31178,41,34,58
-28825,41,36,63
-27437,43,38,68
-26104,51,37,79
-24791,56,37,80
-23478,62,38,83
-22144,66,39,85
-20834,68,41,87
-19525,74,42,90
-18220,78,43,95
-16917,83,46,96
-15614,84,43,97
-14310,85,44,98
-12914,88,43,99
-11590,91,44,102
-10286,91,42,101
-8960,90,42,100
-7601,95,44,101
-6292,93,42,101
-4986,94,42,101
-3681,92,43,102
-2376,93,42,101
-1070,94,42,102
236,95,41,102
3059,94,42,102
4413,95,42,102
5742,93,42,102
7049,94,41,101
8356,94,41,102
9664,95,41,101
10973,93,41,101
12281,95,42,102
13589,93,41,102
14898,94,42,103
16207,94,44,102
17552,94,41,104
18886,94,41,102
20196,96,39,101
21506,93,42,101
22816,93,42,102
24126,93,41,102
25437,94,42,102
26748,94,42,102
28059,95,43,101
30665,95,41,102
32007,93,42,100
-32191,94,42,104
-30851,93,41,101
-29508,93,41,101
-28165,93,41,102
-26832,92,41,103
-25518,94,42,101
-24205,95,42,100
-22876,93,42,102
-21564,93,41,103
-20255,92,42,103
-18928,94,42,101
-17625,94,43,102
-16321,95,43,102
-15018,93,41,103
-13623,96,40,103
-12274,93,43,103
-10969,94,42,102
-9665,94,42,102
-8361,92,40,103
-6689,95,43,103
-5303,94,41,102
-3998,94,42,101
-2692,94,42,102
-1387,94,41,101
-81,93,43,101
1226,94,41,101
2560,94,42,100
3869,92,42,102
5176,94,43,105
6483,94,42,102
7813,96,41,100
9122,95,41,101
10430,94,42,102
11739,93,42,102
13048,93,42,100
14357,94,42,100
15666,93,42,102
16975,93,43,102
18285,94,43,102
19595,94,41,102
20927,93,43,102
22339,95,41,103
23657,93,42,102
24968,93,42,102
26279,94,42,101
28914,93,42,100
30258,94,41,102
31574,94,42,102
-32623,94,42,101
-31280,95,41,101
-29914,95,41,101
-28581,93,42,100
-27267,93,41,102
-25954,95,42,102
-24642,96,42,101
-23332,93,42,103
-22023,94,42,101
-20718,93,41,101
-19415,94,42,102
-18112,93,42,103
-16786,94,40,101
-15482,93,40,102
-14178,94,41,101
-12848,95,43,103
-11541,94,42,102
-10237,93,41,101
-7914,92,41,101
-6542,95,41,101
-5237,94,43,102
-3931,94,41,101
-2603,95,43,103
-1297,94,41,103
9,95,42,101
1316,94,41,102
2623,95,44,102
3930,94,41,102
5237,95,42,101
6544,94,42,101
7853,93,42,101
9161,94,42,103
10492,94,42,101
11832,94,40,100
13143,95,41,102
14452,93,42,102
15762,96,41,100
17071,96,41,102
18382,94,42,102
19692,95,41,101
21002,94,43,101
23864,94,40,102
25310,94,42,100
26621,94,41,103
29212,94,42,100
30996,94,41,101
32363,95,44,101
-31833,94,41,102
-30491,93,42,101
-29112,94,41,100
-27774,94,42,101
-26461,96,41,101
-25126,94,41,102
-23814,94,43,102
-22504,92,42,101
-21195,94,41,101
-19890,93,42,101
-18587,93,43,102
-17284,94,42,102
-15980,95,42,101
-14677,93,42,102
-13373,95,41,102
-12046,94,42,103
-10742,94,40,101
-9354,93,42,101
-8027,94,42,101
-6722,93,42,103
-5417,93,42,100
-4096,95,41,102
-2786,96,41,102
-1480,93,41,103
-174,93,43,100
1155,93,41,103
2462,93,41,101
3769,96,42,100
5076,93,40,101
6384,94,41,103
7692,94,42,102
9000,94,43,102
10309,93,41,103
11617,94,41,102
12927,93,41,102
14258,94,45,100
15567,93,41,102
16877,94,42,101
18187,93,40,101
19497,94,42,101
20858,94,40,102
22173,94,40,100
23484,95,42,102
24795,95,41,101
27394,95,42,102
28756,94,42,101
30072,94,42,102
31411,94,42,102
32754,95,43,103
-31438,94,42,103
-30105,93,41,103
-28792,93,41,103
-27479,93,42,101
-26167,91,43,101
-24858,95,42,103
-23526,93,41,103
-22221,93,42,100
-20918,93,42,100
-19591,94,41,102
-18283,95,42,102
-16979,94,42,102
-15675,93,43,101
-14371,95,41,103
-13067,95,41,100
-11763,94,41,100
-10436,93,43,101
-9130,94,41,100
-7825,94,42,101
-6520,94,41,102
-5141,94,42,102
-3776,95,41,100
-2468,93,42,101
-1161,93,41,101
145,93,43,102
1804,93,42,102
3178,95,43,101
4486,95,43,101
5818,93,43,102
7131,94,42,101
