t,x,y,z
21494,92,41,102
22867,93,41,104
24211,94,41,102
25580,93,42,100
26926,93,43,99
28314,92,41,100
29633,94,43,100
32368,94,42,102
-31824,94,40,102
-30510,92,42,101
-29198,94,42,101
-27889,94,41,98
-26588,94,41,101
-25009,93,43,102
-23486,92,43,100
-22139,93,40,103
-20839,95,41,100
-19432,92,41,102
-18102,92,42,103
-16801,92,41,101
-15499,93,41,103
-14197,93,42,103
-12895,94,41,101
-11505,95,41,102
-10200,93,41,103
-8898,94,41,102
-7595,92,41,102
-5794,95,40,102
-3911,93,43,100
-2475,93,40,103
-1166,95,42,102
139,94,41,101
1444,92,41,103
2771,93,40,101
4076,92,41,102
5382,93,41,102
6688,93,42,103
7994,93,42,99
9300,94,43,100
10607,93,42,102
11914,92,43,101
14570,92,42,102
15914,92,40,101
17284,93,40,101
18633,93,42,100
19983,95,42,102
21321,94,42,101
22642,93,42,102
23961,93,44,101
25279,93,43,102
26594,93,42,100
27907,93,40,101
29217,92,43,101
30542,93,41,102
31842,94,42,101
-32393,93,43,101
-31092,94,43,102
-29791,93,42,100
-28490,92,41,100
-27171,95,42,102
-25867,93,40,101
-24565,94,41,102
-23263,93,39,101
-21937,93,42,101
-20635,94,42,101
-19332,95,41,103
-18028,93,40,101
-16725,92,41,102
-15421,92,41,102
-14117,92,43,101
-12812,93,42,101
-11507,93,42,101
-10202,94,42,102
-8874,92,40,101
-7568,95,41,101
-6262,94,42,102
-4956,94,43,101
-3650,95,40,101
-2326,94,42,104
-1017,94,42,101
290,93,42,101
1597,94,43,101
2905,93,43,101
4235,93,43,102
5542,94,43,100
6851,95,41,101
8160,95,42,101
9469,95,41,102
12228,92,43,104
13913,94,40,103
15483,93,41,101
16871,94,40,102
18220,92,42,104
19581,93,41,102
20901,94,41,101
22302,93,42,101
23628,94,42,101
24943,93,43,100
26256,95,43,101
27565,93,43,100
28868,94,42,101
30168,95,42,101
32031,95,42,101
-32095,93,41,101
-30759,95,41,103
-29446,94,42,101
-28145,93,41,102
-26843,92,43,100
-25541,92,42,100
-24238,93,42,101
-22935,95,42,102
-21633,92,42,102
-20330,95,41,101
-19004,94,40,101
-17656,93,43,101
-16350,94,41,102
-15046,93,41,101
-13741,94,42,100
-12436,92,42,100
-11131,94,41,101
-9425,93,41,101
-7788,94,42,102
-6444,95,43,101
-4802,94,42,101
-3467,93,41,100
-2160,94,40,103
-853,94,41,101
454,94,41,102
1761,94,41,102
3068,93,43,102
4376,93,40,101
5684,94,42,101
7021,92,41,102
8355,93,42,100
9664,94,41,100
12266,92,42,102
13610,92,41,101
14959,94,42,103
16307,95,42,101
17657,94,42,102
18996,94,41,101
20316,93,43,102
21635,94,42,103
22976,93,41,100
24290,94,41,102
25604,93,41,101
26913,93,41,102
28216,94,41,101
29516,94,43,101
30817,94,41,102
32135,93,42,103
-32097,95,42,102
-30796,94,42,101
-29472,93,43,100
-28170,95,42,101
-26868,92,42,101
-25566,93,41,101
-24263,92,40,101
-22960,95,42,101
-21657,94,42,101
-20354,94,41,102
-19050,94,42,102
-17746,93,41,101
-16015,92,42,101
-14568,92,41,102
-13257,94,42,101
-11952,92,42,100
-10646,93,40,101
-8944,93,42,100
-7575,93,43,100
-6269,95,42,103
-4962,93,40,101
-3656,92,42,102
-2326,93,41,101
-1019,94,41,102
288,93,41,102
1886,93,41,101
3246,94,42,101
4858,93,41,101
6202,93,41,101
7511,93,42,102
8821,92,41,103
11420,94,42,103
12786,95,41,102
14135,95,43,104
15486,94,41,103
16862,94,40,103
18203,92,40,102
19523,95,42,102
20903,92,41,102
22224,93,41,101
23539,93,42,100
24852,94,43,101
26184,92,39,102
27487,93,41,102
29131,91,42,101
30477,95,42,102
31778,93,41,102
-32457,94,41,102
-31155,95,40,102
-29854,94,41,99
-28552,93,41,104
-27249,92,41,105
-25924,93,43,104
-24596,92,42,101
-23291,94,42,102
-21987,94,41,101
-20684,93,42,102
-19380,95,41,102
-18076,94,41,102
-16772,93,42,102
-14122,93,43,100
-12596,92,42,103
-11257,93,42,103
-9952,93,42,100
-8647,94,41,102
-7341,93,43,101
-6035,93,40,103
-4728,94,43,100
-3422,93,41,101
-2115,94,41,101
-808,93,41,101
534,94,42,101
1866,93,43,100
3173,95,40,102
4481,92,41,102
5790,94,41,102
7099,95,42,100
8408,93,41,101
11027,93,41,100
12371,92,42,103
13719,92,41,102
15068,92,41,100
16440,92,42,102
17779,92,42,102
19186,94,42,100
20652,92,41,103
21991,95,41,102
23306,93,42,103
24619,94,42,103
25989,94,40,102
27294,91,41,101
28594,95,42,104
