t,x,y,z
5905,94,42,102
7474,94,42,102
10228,92,43,101
11583,93,41,102
12939,93,40,100
14281,93,43,101
15632,93,42,101
16981,93,42,100
18444,94,43,101
19794,93,41,99
21138,93,43,102
22472,93,42,102
23785,94,42,101
25097,93,40,101
26429,94,43,99
27734,93,42,101
29034,92,42,100
30334,93,42,101
31634,93,42,100
-32602,94,43,101
-31301,93,43,100
-30000,94,42,100
-28698,94,41,101
-27397,94,41,101
-26073,92,42,101
-24771,92,42,100
-23469,95,42,102
-22141,95,40,101
-20836,93,42,101
-19533,93,42,102
-18230,94,40,100
-16927,95,41,101
-15623,95,43,102
-14319,92,40,101
-12993,95,42,101
-11688,95,43,101
-10384,93,42,100
-9079,94,41,100
-7773,93,41,101
-6468,94,42,102
-5162,92,43,101
-3856,94,43,100
-2550,92,41,100
-1243,95,43,101
86,94,42,100
1393,96,41,101
4147,93,43,99
5475,93,42,101
6782,93,42,100
9475,93,43,100
10847,94,41,101
12182,94,43,101
13525,93,43,101
14876,92,42,101
16247,94,41,100
17596,95,41,102
18941,95,43,102
20286,92,43,101
21619,95,42,100
22933,94,43,100
24244,93,43,104
25554,93,42,101
26860,95,43,99
28186,94,41,98
29616,93,43,101
30930,94,40,100
32231,93,42,101
-30409,93,41,102
-29036,93,42,100
-27730,94,43,101
-26429,92,42,102
-25127,92,42,101
-23826,94,42,102
-22524,93,42,99
-21088,92,41,101
-19747,93,42,102
-18439,93,41,101
-17137,94,43,100
-15833,95,41,102
-14530,93,41,102
-13201,95,42,100
-11895,94,42,101
-10591,92,42,102
-9286,93,44,101
-7959,93,41,100
-6654,94,42,100
-5348,94,41,101
-4042,93,42,101
-2736,94,43,101
-1430,92,42,100
-124,94,43,102
1183,94,43,99
2490,93,44,100
3797,94,43,101
5126,93,42,100
6434,92,41,102
9061,92,43,100
10412,95,43,101
11797,93,42,101
13142,93,42,100
14493,94,43,99
15842,94,42,100
17191,94,43,99
18536,93,43,100
19903,93,44,100
21236,93,40,100
22550,93,42,101
23861,93,42,99
25171,93,41,100
26476,94,43,101
27776,94,44,100
29076,94,42,100
30376,95,43,100
31677,95,44,101
-32536,94,41,101
-31235,92,42,102
-29934,92,43,100
-28609,93,40,101
-27305,96,41,100
-26003,92,42,103
-24701,92,43,100
-23399,93,43,99
-22096,94,42,101
-20794,93,42,99
-19469,94,43,100
-18165,94,42,101
-16862,94,43,102
-15558,95,41,99
-14255,94,41,101
-12950,93,41,101
-11646,94,42,100
-10341,93,44,102
-9036,92,43,102
-7730,93,42,100
-6402,94,42,100
-5096,94,42,101
-3773,93,41,101
-2464,93,43,99
-1056,96,42,102
258,93,43,102
1565,92,43,102
2872,94,44,102
4179,95,43,99
6784,94,44,101
8607,93,42,102
9967,93,42,100
11310,93,41,100
12661,92,43,102
14009,94,42,101
15465,92,41,99
16847,93,43,102
18196,95,42,101
19529,92,40,100
20843,93,41,100
22194,93,41,101
24518,94,40,101
25909,93,43,100
27210,92,42,101
28511,94,42,100
29810,95,41,99
31111,92,43,102
32411,95,41,99
-31824,93,43,100
-30523,95,44,100
-29199,93,42,100
-27898,94,42,100
-26596,94,43,102
-25294,93,43,101
-23992,93,41,99
-22689,94,43,100
-21387,95,41,101
-20084,96,43,100
-18341,93,43,99
-16988,94,42,101
-15662,94,42,101
-14359,94,42,102
-13055,96,42,99
-11750,93,42,101
-8871,92,42,101
-7529,94,40,103
-6223,93,41,102
-4918,93,42,101
-3612,93,41,101
-2305,92,41,101
-977,93,42,101
330,92,42,101
1637,94,43,99
2944,96,43,99
4251,93,42,100
5594,94,42,100
8236,94,43,100
9587,93,45,100
10920,93,44,102
12263,94,43,102
13637,95,41,100
14985,94,42,99
16334,94,42,100
17680,93,42,100
19024,93,40,101
20358,94,42,100
21671,95,42,101
22983,93,43,100
24293,94,42,101
25598,95,43,101
26920,94,43,101
28221,94,43,101
29521,94,42,101
30838,94,43,100
32211,94,42,100
-31983,93,42,100
-30678,93,44,102
-29376,95,42,100
-28075,93,44,101
-26773,95,44,102
-25448,93,42,100
-24146,91,44,101
-22843,94,41,100
-21541,94,43,99
-19795,94,42,102
-18485,94,43,101
-17181,93,43,101
-15878,95,43,101
-14574,94,41,101
-13140,94,41,102
-11788,94,43,100
-10483,94,43,100
-9160,94,41,101
-7852,93,43,101
-6546,94,42,99
-5240,92,42,100
-3934,94,45,101
-2627,95,41,101
-1321,94,43,101
-14,93,42,100
1316,94,42,100
2623,94,41,102
3931,95,41,102
6566,94,43,101
7917,95,41,101
9250,94,41,102
10593,95,42,101
11944,93,42,100
13293,94,43,102
14642,94,42,101
16025,96,42,99
17372,93,43,100
18706,93,43,101
20019,94,42,100
21331,93,41,100
22641,94,41,100
23946,92,42,101
25246,94,42,101
26546,94,41,100
27846,93,41,101
29169,92,42,101
30470,95,41,101
31771,93,44,100
-32464,91,41,101
-31162,94,42,102
-29861,93,42,102
-28559,94,42,101
