t,x,y,z
-32216,94,41,102
-30825,92,44,102
-29499,94,41,101
-28196,93,41,101
-26895,93,41,99
-25595,94,42,102
-24294,95,41,102
-22993,93,41,101
-21692,94,42,102
-20368,93,42,101
-19067,94,41,103
-17765,92,42,102
-16463,93,43,101
-15127,94,41,101
-13759,93,43,101
-12437,93,40,101
-11134,94,43,100
-9831,94,41,102
-8527,94,42,101
-7201,93,41,100
-5897,94,40,102
-4593,94,44,102
-3288,94,43,100
-573,92,43,100
775,94,42,103
2095,94,42,102
3702,94,41,101
5450,94,42,101
6839,94,41,101
8195,95,42,103
9509,93,42,102
10853,92,40,100
12166,95,43,101
13476,93,43,102
14785,94,42,102
16088,95,42,104
19193,93,42,101
20539,93,41,102
22261,92,41,103
23644,94,41,101
25230,94,41,102
26557,93,43,101
27861,92,42,102
29165,93,42,102
30470,94,40,103
31775,93,42,101
-32456,95,42,101
-31150,94,41,101
-29761,92,43,102
-28431,95,43,101
-27124,95,42,103
-25818,94,41,101
-24511,93,40,102
-23204,93,41,102
-21897,92,42,103
-20590,94,41,101
-19281,94,42,101
-17973,93,42,103
-16407,94,41,101
-15031,94,40,102
-13722,92,41,102
-12413,94,40,100
-11103,93,40,101
-9794,95,42,101
-8484,94,42,100
-7173,93,40,102
-5834,94,42,101
-4521,93,42,101
-3210,94,41,102
-1876,94,41,100
817,93,41,100
2179,93,42,102
3496,93,41,102
4836,93,44,101
6180,93,42,101
7523,94,41,105
8857,95,42,101
10171,94,43,103
11484,93,40,101
12820,94,42,101
14131,93,42,101
15439,93,41,101
16742,92,41,101
18045,95,42,102
19365,94,42,101
20671,94,42,102
21975,92,42,102
23278,93,42,101
24582,92,42,100
25909,93,42,101
27213,93,41,101
28518,94,42,100
29823,92,43,101
31128,94,43,101
32433,94,42,102
-31797,94,43,100
-30491,93,41,101
-29185,94,41,101
-27879,95,41,101
-26550,93,39,102
-25152,94,42,101
-23797,92,40,101
-22490,93,41,102
-21163,93,41,103
-19853,94,41,101
-18545,92,43,101
-17236,94,41,101
-15927,92,43,101
-14618,93,41,100
-13287,94,41,103
-11977,92,43,101
-10667,94,41,101
-9357,92,41,102
-8046,94,41,101
-6421,94,40,101
-5074,94,41,104
-3482,93,42,102
-866,94,40,102
472,94,41,101
1812,92,42,104
3151,93,42,102
4523,93,43,102
5869,93,41,102
8220,94,40,100
9575,94,40,101
10891,92,42,101
