t,x,y,z
-29909,94,42,102
-28553,94,43,104
-27253,94,41,101
-25954,93,41,100
-24633,94,42,99
-23333,93,41,102
-22034,95,43,100
-20733,93,42,101
-19434,94,41,99
-18133,94,43,100
-16832,92,43,99
-15478,94,43,101
-14175,95,43,100
-12874,93,42,101
-11550,94,41,99
-10248,92,43,100
-8946,93,42,99
-7644,96,40,98
-6341,91,42,99
-3705,94,42,99
-2321,93,42,100
-1016,95,44,101
287,94,42,100
1591,94,42,100
2918,94,43,100
5752,94,41,100
7122,95,41,100
8458,94,43,100
9834,92,42,100
11181,95,42,99
12528,92,41,99
13871,94,42,100
15213,93,42,98
16545,95,42,100
17879,95,43,101
19512,94,42,100
21235,94,41,100
22615,95,42,100
24403,93,43,102
25772,93,45,99
28694,94,42,101
30034,94,41,101
31337,92,42,100
32639,94,43,101
-31479,94,41,102
-30173,93,43,101
-28870,94,42,100
-27566,94,43,100
-26263,95,41,100
-24959,94,43,103
-23655,94,42,100
-22350,94,42,101
-21046,93,44,99
-19741,92,42,100
-18414,94,42,100
-17109,96,41,101
-15803,93,41,101
-14497,94,42,101
-13191,94,42,99
-11885,94,42,102
-10578,91,44,101
-9270,94,44,100
-7963,93,43,102
-6631,92,42,100
-5299,94,41,102
-3991,93,44,101
-2682,92,41,101
-1374,92,43,101
-65,93,42,100
1244,91,42,100
2553,92,41,100
3862,95,42,101
6547,93,41,100
7899,95,43,101
9253,94,40,102
10601,94,43,100
11945,93,42,101
13292,94,42,101
14635,94,43,100
15978,94,43,101
17310,94,42,102
18638,94,42,101
19950,93,42,101
21258,94,43,102
22585,93,41,100
23888,94,43,100
25190,92,42,101
26491,94,42,101
27793,93,42,99
29096,94,41,101
30398,96,43,103
31701,94,41,100
-32532,94,41,101
-31229,94,42,102
-29903,95,42,101
-28600,93,40,101
-27296,94,41,100
-25992,95,42,100
-24687,93,42,101
-23383,95,42,100
-22061,95,42,100
-20754,94,42,100
-19448,92,41,100
-18143,94,41,100
-16815,94,44,100
-15509,94,43,100
-14202,93,42,99
-12895,94,43,102
-11501,95,42,101
-10082,93,42,100
-8720,95,42,100
-7412,93,43,100
-6105,94,42,101
-4796,94,41,102
-3466,94,43,99
-2157,93,43,101
-848,95,41,101
461,94,43,100
1770,91,42,100
4455,94,42,101
5810,95,43,99
7141,94,43,101
8489,94,42,101
9834,94,41,101
11203,93,42,100
12546,93,43,101
13889,95,42,101
15221,94,42,103
17512,94,41,100
18882,93,44,101
20192,94,43,102
21497,94,42,99
23222,93,43,100
24582,93,42,99
25906,94,43,99
27208,94,42,101
28543,94,42,101
29848,93,43,101
31151,93,42,100
32454,95,42,101
-31779,94,42,102
-30476,92,43,101
-29172,94,42,99
-27868,93,42,102
-26542,92,44,101
-25237,96,42,102
-23933,92,42,102
-22628,94,42,101
-21323,96,43,101
-20018,94,41,101
-18712,94,41,101
-15899,93,43,100
-14552,94,41,101
-13245,94,41,101
-11881,95,42,100
-10571,92,42,102
-9263,95,44,100
-7956,94,42,101
-6648,93,42,100
-5340,93,42,102
-4032,93,42,99
-2724,94,43,100
-1415,93,41,99
-106,94,43,99
1225,92,43,100
2535,94,43,100
5214,94,42,100
6566,95,42,101
7897,93,42,101
9245,94,43,100
10590,92,41,100
11954,93,43,102
13300,93,42,100
14642,93,43,100
15997,95,42,100
17308,93,43,101
18617,94,43,100
19925,96,41,100
21230,93,44,101
22607,93,41,101
23943,95,41,101
25244,93,43,100
26547,92,41,100
27949,93,42,99
29317,94,42,100
30620,93,43,101
31923,93,42,100
-32310,92,42,101
-31006,94,41,100
-29703,93,42,101
-28342,93,43,101
-27035,94,42,100
-25731,94,43,100
-24426,94,44,101
-23099,94,43,100
-21794,93,42,102
-20489,95,43,99
-19183,96,42,99
-17877,94,44,100
-16571,94,41,100
-15265,93,43,99
-13958,94,42,101
-12650,95,44,100
-11343,93,41,100
-10013,94,43,99
-8705,92,43,99
-7397,96,42,100
-6089,95,43,100
-4780,93,44,101
-3447,95,43,100
-2136,94,43,101
-827,92,42,101
483,93,43,100
3117,94,42,100
4492,93,43,100
5823,93,42,101
7171,95,43,103
8516,95,43,101
9863,93,42,100
11206,94,42,101
12549,93,44,98
13881,95,43,100
15192,93,42,100
16502,94,41,101
17832,95,41,101
19137,93,42,101
20440,93,41,100
21759,93,41,99
23063,95,43,101
24365,94,44,100
25668,93,42,100
26970,93,41,100
28273,93,41,101
29576,92,41,100
30902,93,44,101
32205,94,44,100
-32027,94,42,100
-30723,94,42,100
-29419,93,42,100
-27169,93,41,101
-25775,93,43,102
-24468,92,42,101
-23163,95,42,101
-21858,93,43,100
-20530,94,43,102
-19203,94,41,101
-17890,93,41,99
-16582,93,43,100
-15275,94,41,101
-13967,94,43,99
-12660,94,41,100
-11353,92,44,100
-10045,93,41,100
-8737,94,42,101
-7306,94,41,100
-5993,94,43,101
-4684,94,44,101
-3376,95,41,101
-2067,95,42,100
-527,93,43,101
2292,94,45,101
5227,95,42,101
6676,95,44,102
8026,95,42,100
9393,95,44,100
10740,94,43,99
12083,95,41,100
13426,95,41,99
14758,94,39,99
16069,92,38,98
17378,91,35,92
18686,88,32,87
19991,85,31,80
21294,80,32,72
22618,77,34,67
23920,76,40,67
25222,74,41,75
26524,68,39,79
27827,60,30,81
29129,51,22,74
30432,45,20,68
31759,38,21,62
-32471,35,23,56
-31167,33,25,51
-29841,33,28,53
-28537,31,34,54
-27233,33,35,56
-25928,36,39,61
-24623,39,41,70
-23318,45,40,76
-22013,49,39,83
-20708,54,37,83
-19402,59,39,85
-18096,64,38,85
-16767,69,41,89
-15460,75,42,91
-14152,78,44,93
-12845,79,42,96
-11538,83,44,96
-10230,84,44,97
-8904,87,45,98
-7594,88,42,100
-6285,91,44,99
-4976,90,45,99
-3645,92,44,99
-2336,92,42,102
-1027,93,44,101
1618,94,43,100
2975,92,43,100
4306,93,43,101
5654,92,41,102
6999,94,41,101
8346,92,44,100
9689,95,42,102
11054,92,40,101
12386,94,42,103
13697,94,43,101
15007,94,43,101
16331,94,42,100
17638,93,42,100
18941,93,40,100
20243,92,42,101
21545,94,43,101
22847,93,42,100
24171,93,45,102
25474,93,43,99
26862,94,42,100
28185,93,42,102
29489,94,43,100
30792,93,43,102
32096,93,43,100
-32136,94,41,101
-30832,94,44,101
-29432,95,41,101
-28063,93,42,102
-26758,93,42,101
-25453,95,43,101
-24130,93,43,101
-22822,93,42,101
-21516,93,42,101
-20210,94,42,101
-18904,94,43,101
-17597,95,42,101
-16289,94,42,101
-14960,95,42,100
-13652,93,41,101
-12344,95,41,101
-11036,95,42,100
-9728,95,42,101
-8419,94,41,101
-6154,93,41,101
-4756,94,42,101
-3445,95,42,101
-2136,92,42,101
608,94,43,100
1967,93,42,102
3299,94,43,103
4646,94,41,101
5991,94,44,100
7337,94,42,101
8680,95,42,101
10023,93,42,100
11355,95,42,102
12666,95,41,101
13997,94,42,103
15305,94,42,102
16610,93,43,100
17913,94,43,99
19214,94,43,100
20516,93,42,98
21818,93,42,100
23120,92,42,101
25907,94,42,100
27277,94,44,100
28604,93,44,102
29908,93,41,101
31211,93,42,100
32515,93,41,100
-31717,94,42,101
-30413,95,42,102
-29109,94,42,99
-27804,94,42,100
-26499,92,43,99
-25194,95,42,100
-23867,93,43,101
-22561,93,41,99
-21255,94,42,101
-19949,95,42,102
-18643,95,43,100
-17336,94,42,101
-16028,93,41,102
-14692,95,41,103
-13382,96,43,100
-12074,94,42,100
-10744,93,44,100
-9436,94,43,99
-8127,95,44,101
-6818,94,42,99
-5510,93,42,99
-4113,94,43,100
-2788,93,41,101
301,96,42,100
1705,94,42,102
3037,94,42,100
4407,94,44,100
5752,93,43,99
7205,93,41,100
8594,92,41,100
9954,94,41,101
11289,94,43,99
12600,94,41,100
13909,96,42,99
15217,93,44,101
16523,94,43,100
17848,93,43,98
19149,92,41,100
20451,94,43,100
21753,94,41,101
23056,95,43,101
24358,93,41,103
25661,93,42,100
26964,93,42,100
28267,95,41,101
29571,93,40,100
30897,94,42,101
32201,95,43,100
-32031,95,41,101
-30709,93,42,100
-29403,93,42,100
-28098,95,41,101
-26793,95,44,100
-25487,94,43,101
-23871,93,43,101
-22525,93,43,100
-21196,94,41,102
-19890,94,44,101
-18583,93,42,100
-17275,94,43,100
-15968,95,41,99
-14660,93,44,99
-13352,93,43,99
-12044,93,42,101
-10736,94,41,100
-9427,94,43,101
