t,x,y,z
-27992,93,42,100
-26630,93,42,103
-25331,93,42,100
-24032,93,42,99
-22657,94,43,99
-21355,92,41,99
-20055,91,43,100
-18756,92,41,98
-17455,92,43,99
-16155,93,43,99
-14854,92,41,99
-13554,95,42,100
-12252,93,42,99
-10951,92,43,97
-9627,94,43,98
-8325,93,42,98
-7023,93,42,100
-5721,94,41,100
-4418,93,43,99
-3115,93,43,99
-1812,93,43,100
-508,93,42,100
1268,93,43,100
2640,92,42,100
3969,94,42,100
5273,93,42,100
6578,95,44,99
7883,93,43,99
9189,92,42,99
10494,93,42,99
11801,92,43,99
14534,95,43,100
15851,94,43,100
18759,92,41,99
20208,93,42,98
21563,94,43,101
22907,93,42,99
24256,93,41,99
25594,93,43,99
26929,92,44,99
28246,93,43,101
29557,92,42,101
30868,93,42,99
32179,93,43,98
-32025,93,42,99
-30715,94,43,98
-29405,93,43,100
-28100,94,42,102
-26428,92,42,101
-25068,95,43,99
-23767,95,43,99
-22466,96,43,100
-19367,93,43,97
-18038,93,42,102
-16714,92,42,99
-15411,92,41,100
-14108,91,42,99
-12726,92,42,100
-11418,95,43,99
-10115,93,42,101
-8812,93,43,100
-7508,92,42,98
-6203,95,43,97
-4899,93,42,101
-3571,92,42,101
-2266,95,44,99
-840,93,44,101
518,94,43,100
1828,94,42,101
3134,94,40,100
4441,94,42,100
5748,95,43,99
7054,94,44,99
8361,93,41,99
9691,92,43,101
10999,94,43,99
12322,93,43,98
13634,93,42,100
14943,92,41,99
16252,93,42,100
18929,94,44,100
20298,95,41,98
21645,93,42,100
22990,93,43,99
24361,92,43,99
25699,92,45,100
27015,94,43,101
28328,92,41,99
29639,94,42,100
30950,95,42,98
32260,94,43,100
-31965,94,41,102
-30655,93,42,100
-29346,93,43,100
-28002,93,41,101
-26701,93,42,100
-25400,93,44,100
-24098,94,42,98
-22797,92,43,100
-21495,93,42,99
-20194,94,44,99
-18891,93,42,101
-17589,93,43,99
-16286,95,42,101
-14960,93,41,99
-13657,92,42,100
-12352,94,41,100
-10938,94,42,99
-9632,93,42,99
-8327,94,43,100
-7023,92,42,99
-5718,92,41,101
-4412,93,42,100
-3091,93,43,102
-1758,93,41,99
