t,x,y,z
12466,92,41,101
13893,93,43,103
15231,94,41,103
16543,93,42,102
17843,93,42,102
19143,93,41,101
20442,94,42,103
21742,93,41,103
24529,93,42,102
25913,94,41,102
27231,94,41,102
28579,94,42,99
29918,95,42,101
31248,93,42,102
32558,94,41,102
-31667,93,42,103
-30357,93,44,100
-29050,93,40,101
-27743,93,42,103
-26440,92,42,101
-25137,94,42,104
-22478,93,43,102
-21055,92,41,103
-19749,93,41,103
-18444,95,43,102
-17110,95,41,103
-15803,95,42,102
-14498,95,42,102
-13193,93,42,102
-11888,94,42,102
-10582,93,43,102
-9254,93,42,101
-7948,93,42,102
-6641,92,42,101
-5335,93,41,102
-3736,94,42,101
-2042,92,41,101
-696,93,42,101
611,93,40,102
1919,93,42,102
3227,95,41,102
4559,93,39,101
5868,91,40,102
7206,93,41,101
10056,93,41,101
11520,94,41,101
12833,94,42,102
14142,94,42,100
15453,92,40,102
16763,92,41,102
18074,93,41,102
19407,95,43,100
20718,93,43,102
22030,94,40,100
23342,91,41,101
25942,93,42,102
27278,92,42,102
28595,92,42,104
29933,94,41,102
31276,93,41,102
32690,92,42,101
-31487,92,41,101
-30175,97,41,101
-28863,93,40,103
-27552,93,42,103
-26242,93,42,101
-24934,93,42,102
-23631,95,43,102
-22328,94,41,102
-21024,93,41,102
-19720,93,42,102
-18393,93,42,101
-17088,94,43,100
-15783,94,40,102
-14479,94,40,102
-13173,95,43,103
-11868,93,42,100
-10562,93,41,102
-9256,93,42,103
-7928,95,41,102
-6617,92,43,102
-5288,94,40,102
-3981,93,41,100
-2674,93,43,102
-1367,93,42,103
-59,94,43,103
1249,93,42,100
2557,94,41,102
3866,95,42,102
5175,94,41,102
6484,93,41,103
7816,92,41,102
9126,94,42,102
10436,93,41,102
11746,93,42,102
13056,94,40,101
14367,93,42,101
15677,93,42,100
17003,94,42,103
18319,94,42,101
19631,94,41,102
20964,94,41,101
23529,93,41,99
24865,94,41,102
26181,93,42,102
27520,94,42,102
28863,92,42,101
30206,94,40,103
31617,94,40,102
-32550,92,41,103
-31229,94,39,101
-29895,94,43,103
-28586,91,44,103
-27278,93,42,101
-25975,94,43,101
-24671,94,41,101
-23352,94,43,102
-22044,95,41,101
-20649,94,42,101
-19292,93,41,102
-17988,93,43,101
-16660,95,42,102
-15355,93,44,102
-14050,92,42,102
-12744,94,42,103
-11438,94,41,102
-10132,94,41,102
-8826,92,40,102
-7519,93,42,100
-6212,93,43,101
-4905,94,41,102
-3575,94,42,101
-1305,94,41,100
83,94,42,101
1499,92,42,103
2813,93,41,101
4122,93,42,101
5431,93,41,103
6740,93,41,103
8050,94,42,102
9359,93,41,102
10692,92,43,101
12487,93,43,101
13863,92,42,102
15174,93,42,102
16485,94,41,104
17796,93,41,101
19108,93,41,102
20419,95,44,101
23035,93,42,102
24371,93,41,100
25732,95,42,101
27077,94,42,101
29775,93,42,103
31383,93,42,102
32731,94,41,102
-31493,94,41,101
-30181,94,40,102
-28869,94,42,101
-27560,93,43,102
-26252,94,42,101
-24927,92,42,101
-23623,91,42,102
-22319,94,41,103
-21015,94,41,102
-19710,92,43,102
-18405,94,42,101
-17101,96,43,103
-15796,93,42,103
-14455,92,42,102
-13148,93,42,101
-11819,94,42,99
-10514,93,43,99
-9207,95,43,100
-7901,93,40,101
-6594,92,41,102
-5287,94,42,101
-3980,93,41,103
-2672,93,41,101
-1365,94,40,101
-57,94,42,101
1274,93,42,101
2583,94,42,101
3988,94,42,102
5340,94,43,103
6654,92,41,101
7964,94,43,101
9274,93,42,101
10987,94,42,101
12326,94,42,100
13637,93,41,102
15078,94,41,101
16398,94,41,100
17709,93,43,102
19021,94,40,101
20333,92,42,100
22931,93,42,102
24267,94,40,101
25583,93,42,102
26922,95,42,102
28265,94,40,102
29630,94,40,104
30962,94,42,103
32274,93,43,102
-31950,93,40,102
-30638,94,41,102
-29276,94,43,103
-27966,94,41,102
-26663,93,42,101
-25359,94,41,103
-24055,96,42,100
-22729,94,42,102
-21424,93,40,102
-20119,93,42,101
-18815,93,43,102
-17510,94,42,102
-16204,94,41,101
-14899,92,40,102
-13593,94,42,101
-12287,94,42,101
-10981,94,40,101
-9652,94,42,101
-8345,94,42,102
-7038,94,42,102
-5731,94,42,100
-4396,93,42,101
-3086,93,42,102
-1778,92,41,101
-469,95,45,102
840,93,40,101
2149,92,42,102
3480,94,41,103
4790,93,41,101
6100,93,41,101
7410,94,40,100
8720,93,42,101
10031,94,41,100
11341,93,40,101
12652,94,42,101
13963,93,42,101
15275,94,42,101
16609,92,41,102
17920,94,42,101
21525,93,41,103
22920,92,43,100
24234,93,43,104
25573,93,41,102
26917,93,42,101
28259,95,41,102
29591,92,42,101
30904,95,41,103
32238,93,42,101
-31986,95,41,101
-30676,93,43,102
-29369,92,43,103
-28065,94,43,101
-26761,93,42,102
-25306,93,42,101
-23900,93,41,102
-22584,95,43,102
-21279,93,41,101
-19917,94,42,100
-18607,93,42,104
-17058,94,41,101
-14293,93,39,101
-12805,93,43,104
-11490,93,41,102
-10184,93,43,102
-8878,93,41,101
-7571,96,41,101
-6264,94,41,101
-4934,94,42,101
-3627,93,41,100
-2320,94,42,101
-1012,95,42,102
297,94,41,102
1606,91,43,103
2915,93,42,103
4262,96,42,102
5573,94,41,100
6883,93,42,102
8215,93,42,101
9525,93,41,99
10836,94,41,103
12146,95,43,100
13457,93,41,101
14768,93,42,101
16079,93,42,99
17391,93,41,101
18702,94,42,101
21293,94,43,101
22659,95,41,101
23973,93,43,101
25311,93,42,101
26655,94,39,100
27997,93,37,99
29384,92,36,98
30698,91,33,96
32010,88,32,88
-32214,84,32,82
-30905,81,35,78
-29575,77,37,80
-28271,72,33,83
-26968,65,30,82
-25664,59,25,77
-24360,55,23,70
-23055,52,24,67
-21751,51,24,66
-20446,51,24,62
-19141,50,29,64
-17836,50,28,63
-16508,50,31,64
-15202,51,30,66
-13897,51,30,71
-12590,55,33,76
-11260,59,35,81
-9951,61,35,84
-8644,69,39,85
-7337,71,41,90
-6030,77,41,95
-4722,81,43,97
-3392,83,43,97
-2084,86,44,98
-775,87,41,100
534,89,42,100
1843,91,42,101
3153,93,43,102
4463,92,41,100
5772,91,42,101
7082,93,41,102
8393,95,41,102
9726,92,40,101
11036,94,43,100
12467,92,42,102
13811,93,42,101
15125,93,43,101
16436,94,42,102
19494,93,42,103
20898,91,42,101
22212,95,42,103
23551,94,42,101
24916,95,41,101
26259,93,42,101
27591,94,40,101
28903,93,43,100
30215,94,42,103
31526,94,43,102
-32700,94,40,102
-31393,93,41,101
-30089,95,42,102
-28786,95,41,101
-27460,94,43,102
-26128,94,42,99
-23791,92,43,101
-22453,93,41,103
-21148,93,41,100
-19843,94,42,101
-18538,94,41,103
-17232,92,42,101
-15927,93,43,101
-14621,93,43,101
-13292,95,44,101
-11986,93,43,102
-10679,92,42,102
-9372,94,40,100
-7702,94,41,101
-6345,95,42,102
-5038,94,43,101
-3730,93,42,100
-2421,93,40,102
-1040,92,43,100
